ID,Tiếng Việt,Tiếng BaNa
0001,"Cùng với các chính sách hỗ trợ của Nhà nước, đồng bào dân tộc thiểu số trong tỉnh đã nỗ lực xóa đói giảm nghèo bằng cách học tập, áp dụng kiến thức mới vào sản xuất","Adriêng rim tôdrong tôguêm ñôêng kôpal, naê ma kon koâng lôêm tinh jôh pran tuêk bôngot dônuh ñôêng kô kach hoêk tôêp, tôjung pôm tôdrong baêt anao tômöt choh jang"
0002,"Từ năm 2017, xã Vĩnh Sơn thực hiện Dự án rau an toàn do Chính phủ New Zealand tài trợ, đưa cộng đồng dân tộc Bana tại đây tiếp cận với khoa học kỹ thuật trong sản xuất rau an toàn","Ñôêng sônaêm 2017, xa Vinh Sôn pôm Dö an hla nheêm an toan yua Chinh phu New Zealand tôguêm, aên naê ma kon koâng oei ôêu oei jeâÊ adriêng KHKT lôêm choh jang hla nheêm an toan"
0003,"Đến nay, rau an toàn Vĩnh Sơn đã được siêu thị Big C đặt hàng thường xuyên","Truh ahreêi, hla nheêm an toan Vinh Sôn ñei sieâu thhi Big C ñaêt ruoât daêch"
0004,Một nhóm nông dân cùng sở thích đã ra đời với 25 hộ dân trực tiếp sản xuất và quy hoạch mở rộng diện tích từ 35.000 đến 40.000 m2,Minh kôtum naê ma adriêng tôdrong waê jôh pôjing adriêng 25 uênh hnam trök tieâp choh jang oeêng pôlok saê chñeh teh ñôêng 35.000 truh 40.000m2
0005,"Theo các hộ trồng rau ở đây cho biết, một hộ sản xuất 500 m2 rau sạch thu nhập bình quân được 3,5 đến 4 triệu đồng/tháng","‘Boi rim uênh hnam pôtaêm hla nheêm oei ôêu aên aleâÊ, minh uênh hnam choh jang 500m2 hla nheêm uoâl ieâl aên thu yoêk tiênh jônuêm ñei 3,5 - 4 trieâu ñoâng minh kheêi"
0006,"Trừ các chi phí liên quan, một năm cũng sẽ được khoảng 60 triệu đồng","Trö jeân pôm, minh sônaêm kung thu yoêk ñei khoang 60 trieâu ñoâng"
0007,"Việc ứng dụng KHKT vào sản xuất nông nghiệp tại vùng cao như Vĩnh Sơn đang từng bước cải thiện đời sống bà con, góp thêm một niềm tự hào cho cộng đồng dân tộc thiểu số trong tỉnh","Tôdrong tôjung pôm KHKT tômöt choh jang noâng nghieâp lôêm apung koâng Vinh Sôn atung rim tôdrong pôm alöng tôdrong yaêl arih ñôêng naê ma, pôgoêp pieâu minh tôdrong höch hanh aên ma ma kon koâng lôêm tinh"
0008,"Những năm qua, Hội Nông dân huyện Vĩnh Thạnh đã thực hiện nhiều giải pháp giúp hội viên, nông dân phát triển kinh tế gia đình","Lö sônaêm anu yuoâ ôêu, Hoâi noâng daân huyeân Vinh Thanh jôh pôm lö tôdrong tôguêm naê ma pôjing kinh teâ uênh hnam"
0009,"Bên cạnh công tác chuyển giao KHKT vào sản xuất, vận động nông dân chuyển dịch cơ cấu kinh tế theo hướng sản xuất hàng hóa, nâng cao giá trị sản phẩm","Minh kôpah tôdrong pôtruh KHKT tômöt choh jang, krao akoêm naê ma tôplih kô kôêu kinh teâ ‘boi tôdrong choh jang hang hoa, poâk xuoân giaê tri ñoâ pôm leêch"
0010,"Hiện nay, Hội Nông dân huyện Vĩnh Thạnh đã nhận ủy thác cho vay hộ nghèo tại Phòng giao dịch Ngân hàng Chính sách xã hội huyện với doanh số cho vay đạt hơn 113,8 tỉ đồng/2.524 lượt hộ vay","Ahreêi, Hoâi noâng daân huyeân Vinh Thanh jôh yoêk uy thac aên vei uênh hnam dônuh dônoê Phong pôjao jiêt NHCSXH huyeân  adriêng doanh soâÊ aên vei ñat loi 113,8 ty ñoâng aên 2.524 maêng uênh hnam vei"
0011,"Nhờ tiếp cận nguồn vốn vay mà nhiều hội viên nông dân ở huyện Vĩnh Thạnh đã vươn lên thoát nghèo bền vững, ổn định đời sống","Yua oei jeâÊ nguoân jeân maê lö naê ma kon tôring oei huyeân Vinh Thanh jôh kjung ñiê dônuh kôjaêp, alöng tôdrong yaêl arih"
0012,"Để thực hiện có hiệu quả Cuộc vận động “Toàn dân đoàn kết xây dựng nông thôn mới, đô thị văn minh” năm 2019, ngoài việc chỉ đạo, hướng dẫn MTTQ các xã, thị trấn phối hợp thực hiện phong trào “Toàn dân đoàn kết xây dựng đời sống văn hóa”, tổ chức đăng ký thực hiện gia đình văn hóa, khu dân cư văn hóa năm 2019","Söê pôm ôêi thu yoêk maêng krao akoêm “Ñiê ñaêng naê ma ñoan keât tôjung pôm cham pôlei anao, ñoâ thi alöng lieâm” sônaêm 2019, minh kôpah pôgôl, pôtho khan MTTQ rim xa, thi traân adriêng pôm glong pônhroh “Ñiê ñaêng naê ma ñoan keât tôjung pôm tôdrong yaêl arih vaên hoa”, pôloêk ñaêng kyê pôm uênh hnam vaên hoa, apung naê ma vaên hoa sônaêm 2019"
0013,"MTTQ Việt Nam huyện chỉ đạo MTTQ cơ sở lồng ghép tuyên truyền phong trào bảo vệ an ninh Tổ quốc, bảo đảm an ninh tuyến núi, phòng chống tội phạm và các tệ nạn xã hội, bảo vệ môi trường, ứng phó với biến đổi khí hậu, bảo đảm an toàn giao thông","MTTQ Vieât Nam huyeân pôgôl MTTQ cô sô pôteêp pôtho khan trong glong jö vei an ninh teh ñak, tômaên tôl an ninh apung koâng, phong dôt bôngai pôm glaêi oeêng rim teâ nan xa hoâi, jö vei moâi tröông, öêng phoê adriêng tôplih pleênh, tômaên tôl an toan trong naêm"
0014,"Đồng thời, duy trì và nhân rộng mô hình mới, cách làm hay, hiệu quả của MTTQ và các tổ chức thành viên như","Thoi ‘noh, duy tri oeêng pôlok saê moâ hinh anao, kô kach pôm hay, thu yoêk ñôêng MTTQ oeêng rim toâ chöc thanh vieân in"
0015,"“Nuôi heo đất tiết kiệm”, “Heo đất tình nghĩa”, “Hũ gạo tình thương”, “Thắp sáng đường quê”, “An ninh trật tự”… mô hình “Làng văn hóa,  không có tệ nạn tự tử, bạo lực gia đình và các hành vi vi phạm pháp luật” tại làng Kông Trú, xã Vĩnh Kim; mô hình “Tự quản về vệ sinh môi trường” tại thôn Định Tam, xã Vĩnh Hảo; mô hình “bảo vệ môi trường, ứng phó với biến đổi khí hậu” tại thôn Định Quang, xã Vĩnh Quang","“Rong nhuêng teh amaên”, “Nhuêng teh tinh nghia”, “Hu pheâ ameêm”, “Pôm hrang trong apung”, “An ninh traât tö”… moâ hinh “Pôlei vaên hoa biê ôêi tôdrong ‘beêt kôdih ôkôêu, ‘bao löêk uênh hnam oeêng rim tôdrong pôm glaêi phap luaât” dônoê pôlei Koâng Truê, xa Vinh Kim; moâ hinh “Kôdih ngoê hnhei lôêm veâ sinh moâi tröông” dônoê thoân Ñinh Tam, xa Vinh Hao; moâ hinh “Jö vei moâi tröông, öêng phoê adriêng tôplih pleênh” dônoê thoân Ñinh Quang, xa Vinh Quang"
0016,"Đã đem lại hiệu quả thiết thực, nâng cao đời sống vật chất và tinh thần của nhân dân, góp phần bảo vệ an ninh trật tự và bảo vệ môi trường trên địa bàn huyện; các địa phương thực hiện tốt mô hình này như MTTQ xã Vĩnh Thịnh, xã Vĩnh Quang, xã Vĩnh Hiệp, thị trấn Vĩnh Thạnh","Jôh cheêp aên thu yoêk tôpaê, poâk xuoân tôdrong yaêl arih oeêng nöih sôngöm ñôêng kon tôring, pôgoêp tôdrong jö vei an ninh traât tö oeêng jö vei moâi tröông lôêm tôring huyeân; rim cham pôlei pôm hôgei moâ hinh anu in MTTQ xa Vinh Thinh, Vinh Quang, Vinh Hieâp oeêng thi traân Vinh Thanh"
0017,Đại hội đại biểu các DTTS huyện tỉnh Bình Định lần thứ III năm 2019 sẽ được tổ chức vào sáng ngày 11.6.2019,Ñai hoâi ñai ‘bieâu rim naê ma kon koâng tinh Binh Ñinh maêng maê III sônaêm 2019 jôh ñei pôloêk tômöt ‘naêr 12/9/2019
0018,"Đại hội là dịp để đánh giá lại hiệu quả các chính sách dân tộc trong 5 năm qua, đồng thời tôn vinh những điển hình tiêu biểu người DTTS trong phát triển kinh tế-xã hội, an ninh trật tự","Ñai hoâi la maêng söê pôtho khan pieâu thu yoêk rim tôdrong kon koâng lôêm 05 sônaêm anu yuoâ ôêu, thoi ‘noh bône rim ñieån hinh pôgloh bôngai kon koâng lôêm pôjing kinh teâ xa hoâi, an ninh traât tö"
0019,Nhân dịp này chúng tôi giới thiệu bài viết ghi nhận về những đổi thay trong đời sống của đồng bào các dân tộc thiểu số huyện Vĩnh Thạnh,"Atuêch tôdrong tôja ‘naêr ôdrôêu, nhôên pôtruh aên mih ma duêch naê tôdrong chih: Tôplih lôêm tôdrong yaêl arih apung naê ma kon koâng huyeân Vinh Thanh"
0020,"Những năm qua, với sự quan tâm của Đảng và Nhà nước, huyện Vĩnh Thạnh đã xây dựng và chỉ đạo thực hiện có hiệu quả Chương trình phát triển KT-XH miền núi gắn với xoá đói giảm nghèo với phương châm ""Tập trung huy động nguồn lực cho phát triển KT-XH, nhất là đầu tư phát triển kết cấu hạ tầng KT-XH ở khu vực miền núi""","Lö sônaêm anu yuoâ ôêu, adriêng tôdrong ngoê hnheêi ñôêng Ñang oeêng kôpal, Vinh Thanh jôh tôjung pôm oeêng pôgôl pôm ôêi thu yoêk tôdrong pôjing kinh teâ xa hoâi apung koâng pôteêp adriêng tuêk bôngot dônuh adriêng tôdrong “Pônhoâm krao nguoân löêk aên pôjing kinh teâ xa hoâi, pôgloh la tôguêm pôjing keât kôêu ha taâng oei apung koâng”"
0021,"Nhờ sự quan tâm đó, đời sống của người dân Vĩnh Thạnh, nhất là vùng đồng bào dân tộc thiểu số đã có sự đổi mới","Yua tôdrong ngoê hnhei ‘noh, tôdrong yaêl arih ñôêng naê ma Vinh Thanh, pôgloh la apung naê ma kon koâng jôh ôêi tôdrong tôplih anao"
0022,"Thực hiện công tác dân tộc, 5 năm qua, Đảng và Nhà nước đầu tư hơn 494 tỷ đồng thực hiện các chương trình, chính sách, dự án đối với vùng đồng bào dân tộc thiểu số và miền núi ở huyện Vĩnh Thạnh","Pôm tôdrong kon koâng, 05 sônaêm anu yuoâ ôêu, Ñang oeêng kôpal tôguêm loi 494 ty ñoâng pôm rim chöông trinh, chinh sach, dö an adriêng apung naê ma kon koâng oeêng apung koâng oei huyeân Vinh Thanh"
0023,"Việc triển khai thực hiện các chương trình, dự án mà trong đó tiêu biểu là Chương trình mục tiêu quốc gia giảm nghèo bền vững và các chính sách giảm nghèo thời gian qua ở huyện Vĩnh Thạnh luôn có sự phối hợp tốt giữa các cấp, các ngành trong quá trình tổ chức thực hiện","Tôdrong pônhroh pôm rim chöông trinh, dö an maê lôêm ‘noh pôgloh la Chöông trinh muêk tieâu kôpal teh ñak tôjul dônuh kôjaêp oeêng rim tôdrong tôjul dônuh jônang anu yuoâ ôêu oei huyeân Vinh Thanh dach ôêi tôdrong adriêng pôm hôgeêi lôêm rim kôêp, rim nganh lôêm tôdrong pôloêk pôm"
0024,"Nhờ vậy chương trình được triển khai thực hiện khá đồng bộ, nhịp nhàng và chặt chẽ nên đã làm thay đổi và chuyển biến nhận thức trong giảm nghèo, khơi dậy ý chí chủ động, vươn lên của người nghèo, tiếp nhận và sử dụng có hiệu quả chính sách và nguồn lực hỗ trợ của Nhà nước, của cộng đồng để thoát nghèo, vươn lên","Yua ‘noh, chöông trinh ñei pônhroh pôm khaê alöng kôna jôh pôm tôplih tôdrong baêt lôêm tôjul dônuh, pôm kjung tôdrong chu ñoâng, kôdih kjung ñôêng bôngai dônuh, yoêk oeêng chaê yuoâ ôêi thu yoêk tôdrong tôguêm ñôêng kôpal, ñôêng naê ma cham pôlei söê ñiê dônuh, kjung pôm bôdrong"
0025,"Trong thời gian qua, huyện ưu tiên cho các dự án phục vụ, hỗ trợ trực tiếp cho sản xuất, phục vụ an sinh xã hội như: thủy lợi, giao thông, nước sạch, văn hóa xã hội","Lôêm jônang anu yuoâ ôêu, huyeân öu tieân rim dö an tôguêm tröêk tieâp aên choh jang, tôguêm an sinh xa hoâi in: thuy lôi, trong naêm, ñak sach, vaên hoa xa hoâi"
0026,"Đồng thời, tăng cường hỗ trợ phát triển sản xuất, đa dạng hóa sinh kế cùng với đầu tư kết cấu hạ tầng các xã nghèo, thôn đặc biệt khó khăn; giảm các chính sách hỗ trợ cho không không kèm theo điều kiện, tăng các chính sách hỗ trợ có điều kiện và tín dụng ưu đãi để phát triển sản xuất, đào tạo nghề, giải quyết việc làm, xuất khẩu lao động","Thoi ‘noh, kjung tôguêm pôjing choh jang, ña dang hoa sinh keâ adriêng tôguêm keât kôêu ha taâng rim xa dônuh, thoân pôgloh hrat tônap; tôjul rim tôdrong tôguêm aên soh biê ôêi ñieâu kieân, kjung rim tôdrong tôguêm ôêi ñieâu kieân oeêng tiên jung öu ñai söê pôjing choh jang, pôtôêp ngheâ, tôguêm tôdrong pôm, xuaât khôu bôngai pôm"
0027,"Khuyến khích người nghèo, hộ nghèo, vùng nghèo chủ động, tích cực vươn lên; đẩy mạnh việc thực hiện cơ chế phân cấp, trao quyền cho địa phương, cơ sở, phát huy vai trò của cộng đồng trong giảm nghèo","Pôtho khan bôngai dônuh, uênh hnam dônuh, apung dônuh chu ñoâng, pôjaêng kjung kôdih, jôraê deâh tôdrong pôm tôdrong phaân kôêp, aên kueân aên cham pôlei, cô sô, pôjing tôdrong ñôêng naê ma cham pôlei lôêm tôjul dônuh"
0028,"Điều đáng mừng là từ năm 2009, Nghị quyết 30a của Chính phủ được triển khai thực hiện tại 62 huyện nghèo đã thổi một luồng gió mới vào đời sống của người dân huyện miền núi Vĩnh Thạnh","Tôdrong pôgloh höch hanh la ñôêng sônaêm 2009, Nghi kueâÊt 30a ñôêng kôpal teh ñak ñei pônhroh pôm lôêm 62 huyeân dônuh jôh thuoâl minh trong kôyal anao tômöt tôdrong yaêl arih ñôêng naê ma apung koâng Vinh Thanh"
0029,"Hàng chục công trình phục vụ dân sinh được đầu tư xây dựng, các hộ nghèo được đầu tư hỗ trợ vốn và vật tư sản xuất nông nghiệp, đời sống của các hộ nghèo đã khá lên rõ rệt","Kô jiêt koâng trinh tôguêm naê ma ñei tôguêm pôm, rim uênh hnam dônuh jôh ñei tôguêm jeân, ñoâ choh jang noâng nghieâp, tôdrong yaêl arih ñôêng rim uênh hnam dônuh jôh kjung maê ro loi"
0030,"Phát huy những kết quả đạt được, trong thời gian đến huyện Vĩnh Thạnh tiếp tục huy động các nguồn lực đầu tư phát triển cơ sở hạ tầng, đẩy mạnh chuyển dịch cơ cấu kinh tế theo hướng hàng hóa gắn với tăng cường công tác khuyến nông, khuyến lâm, chuyển giao và ứng dụng tiến bộ khoa học - kỹ thuật","Pôjing rim tôdrong ñat ñei, lôêm jônang truh, huyeân Vinh Thanh ling lang krao rim nguoân löêk tôguêm pôjing cô sô ha taâng, jôraê deâh tôplih kô kôêu kinh teâ ‘boi tôdrong hang hoa pôteêp adriêng kjung tôdrong khuyeân noâng, khuyeân laâm, pôtruh oeêng tôjung pôm KHKT"
