ID,Tiếng Việt,Tiếng BaNa
0001,"Nghị quyết danh mục công trình, dự án sử dụng dưới 10 héc ta đất trồng lúa; dưới 20 héc ta đất rừng phòng hộ, đất rừng đặc dụng và Danh mục công trình,  dự án Nhà nước thu hồi đất để phát triển kinh tế - xã hội vì lợi ích quốc gia, công cộng năm 2019 trên địa bàn tỉnh Bình Định","Nghi kueâÊt yanh muêk koâng trinh, yöê an chaê yuoâ ôla minh jiêt hecta teh pôtaêm ‘ba; ôla ‘baêl jiêt hecta teh bri phong hoâ, teh bri ñaêk juêng oeêng yanh muêk koâng trinh, yöê an kôpal thu hoâi teh söê pôjing kinh teÊâ xa hoâi yua lôi iêch kôpal teh ñak, koâng koâng sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt tôxiênh lôêm tôring tinh ‘Binh Ñinh"
0002,Hội đồng Nhân dân Tỉnh Bình Định,HÑND tinh ‘Binh Ñinh
0003,Khóa XII kỳ họp thứ 8,Khoêa minh jiêt ‘baêl maêng hoêp maêng maê tôhngam
0004,Căn cứ Luật tổ chức chính quyền địa phương ngày 19 tháng 6 năm 2015;,Kaên köê Luaât Toâ chöêk khul pôgôl cham pôlei ‘naêr minh jiêt tôxiênh kheêi drôêu sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt pôñaêm
0005,Căn cứ Luật ban hành văn bản quy phạm pháp luật ngày 22 tháng 6 năm 2015;,Kaên köê Luaât aên leïêch vaên ‘ban kuy pham phap luaât ‘naêr ‘baêl jiêt ‘baêl kheêi drôêu sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt pôñaêm
0006,Căn cứ Luật đất đai ngày 29 tháng 11 năm 2013;,Kaên köê Luaât teh ‘naêr ‘baêl jiêt tôxiênh kheêi minh jiêt minh sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt peâng
0007,Căn cứ Nghị định số 43/2014/NĐ-CP ngày 15 tháng 5 năm 2014 của Chính phủ quy định chi tiết thi hành một số điều của Luật Đất đai;,Kaên köê Nghiê ñinh ksoâÊ puoân jiêt peâng sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt puoân/NÑ-CP ‘naêr minh jiêt pôñaêm kheêi pôñaêm sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt puoân ñôêng kôpal teh ñak kuy ñinh chi tieâÊt pôm minh ksoâÊ tôdrong ñôêng Luaât the
0008,"Căn cứ Nghị định 01/2017/NĐ-CP ngày 06 tháng 01 năm 2017 của Chính phủ về sửa đổi, bổ sung một số nghị định quy định chi tiết thi hành Luật Đất đai;","Kaên köê nghiê ñinh ksoâÊ khoâng minh sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt tôpôêh/NÑ-CP ‘naêr drôêu kheêi minh sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt tôpôêh ñôêng kôpal teh ñak lôêm tôplih, tôguêm minh ksoâÊ nghiê ñinh kuy ñinh chi tieÊât pôm Luaât the"
0009,"Căn cứ Thông tư 29/2014/TT-BTNMT ngày 02 tháng 6 năm 2014 của Bộ Tài nguyên và Môi trường quy định về Quy định chi tiết việc lập, điều chỉnh quy hoạch, kế hoạch sử dụng đất;","Kaên köê Thoâng tö ksoâÊ ‘baêl jiêt tôxiênh sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt puoân/TT-BTNMT ‘naêr ‘baêl kheêi drôêu sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt puoân ñôêng ‘Boâ tai ngueân oeêng Moâi tröông kuy ñinh lôêm Kuy ñinh chi tieâÊt tôdrong pôm, tôplih kuy hoach, glong pônhroh chaê yuoâ the"
0010,"Xét Tờ trình số 138/TTr-UBND ngày 26 tháng 11 năm 2018 của Ủy ban nhân dân tỉnh về việc đề nghị thông qua Danh mục công trình, dự án sử dụng dưới 10 héc ta đất trồng lúa;","Xeêt Tô trinh ksoâÊ minh peâng tôhngam/TTr-UBND ‘naêr ‘baêl jiêt drôêu kheêi minh jiêt minh sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt tôhngam ñôêng UBND tinh lôêm tôdrong pôtho khan thoâng kua yanh muêk koâng trinh, yöê an chaê yuoâ ôla minh jiêt hecta teh pôtaêm ‘ba"
