ID,Tiếng Việt,Tiếng BaNa
0001,"Quyết định về việc phê duyệt Đề án Phát triển chăn nuôi bò thịt chất lượng cao trong nông hộ tỉnh Bình Định giai đoạn 2015 - 2020",KueâÊt ñinh lôêm tôdrong pheâ jueâÊt Ñeâ an pôjing kiêa rong lômo aseêch tôdrong thu ‘yoêk ñei deâh lôêm uênh hnam tinh ‘Binh Ñinh jônang ‘baêl ôbôêu khoâng hrieâng minh jiêt pôñaêm – ‘baêl ôbôêu khoâng hrieâng ‘baêl jiêt
0002,Ủy ban Nhân dân Tỉnh,UBND tinh
0003,Căn cứ Luật Tổ chức HĐND và UBND ngày 26/11/2003;,Kaên köê Luaât Toâ chöêk HÑND oeêng UBND ‘naêr ‘baêl jiêt drôêu kheêi minh jiêt minh sônaêm ‘baêl ôbôêu khoâng hrieâng le peâng
0004,Xét đề nghị của Sở Nông nghiệp và PTNT tại Tờ trình số 2518/TTr-SNN ngày 07/8/2015,Xeêt pôtho khan ñôêng Sô Noâng nghieâp oeêng pôjing cham pôlei lôêm Tô trinh ksoâÊ ‘baêl pôñaêm minh tôhngam/TTr-SNN ‘naêr tôpôêh kheêi tôhngam sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt pôñaêm
0005,Điều 1: Phê duyệt Đề án Phát triển chăn nuôi bò thịt chất lượng cao trong nông hộ tỉnh Bình Định với các nội dung chủ yếu như sau:,Ñieâu minh. Pheâ jueâÊt Ñeâ an pôjing lômo aseêch tôdrong thu ‘yoêk deâh lôêm uênh hnam tinh ‘Binh Ñinh adriêng rim tôdrong pôgloh ñôêng roêng ôêu:
0006,Mục tiêu của Đề án,Tôdrong ñôêng Ñeâ an
0007,Mục tiêu tổng quát:,Tôdrong toâng quat:
0008,"Đẩy mạnh phát triển chăn nuôi bò thịt có năng suất, chất lượng cao, nhằm nâng cao năng lực cạnh tranh ngành hàng bò thịt của tỉnh; xây dựng vùng chăn nuôi bò thịt chất lượng cao làm cơ sở xây dựng thương hiệu bò thịt và thịt bò tỉnh Bình Định;","Jôraê deâh pôjing lômo aseêch ôêi naêng suaât, tôdrong thu ‘yoêk deâh söê poâk xuoân tôdrong tôgal nganh hang lômoê aseêch ñôêng tinh; tôjung pôm apung rong lômo aseêch tôdrong thu ‘yoêk deâh pôm kô sô tôjung pôm thöông hieâu lômoê aseêch oeêng aseêch lômo tinh ‘Binh Ñinh"
0009,"Phát triển chăn nuôi bò thịt theo hướng nâng cao giá trị gia tăng, phát triển bền vững, tăng thu nhập cho nông dân.","Pôjing kiêa rong lômo aseêch ‘boi tôdrong poâk xuoân giaê tri gia taêng, pôjing kôjaêp, kjung thu ‘yoêk aên naê ma"
0010,Mục tiêu cụ thể:,Tôdrong kuê theâ
0011,"Quy mô đàn bò: Tổng đàn bò năm 2015 đạt 260.000 con; năm 2020 đạt 520.000 con, trong đó: Đàn bò nuôi trong nông hộ: 320.000 con, đàn bò nuôi trong các doanh nghiệp: 200.000 con.","Kuy moâ tôpul lômo: Pôting tôpul lômo sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt pôñaêm ñat ‘baêl hrieâng drôêu jiêt ôbôêu toê; sônaêm ‘baêl ôbôêu khoâng hrieâng ‘baêl jiêt ñat pôñaêm hrieâng ‘baêl jiêt ôbôêu toê, lôêm ‘noh: Tôpul lômo rong lôêm uênh hnam: Peâng hrieâng ‘baêl jiêt ôbôêu toê, tôpul lômo rong lôêm rim yoanh ngieâp: ‘Baêl hrieâng ôbôêu toê"
0012,Chất lượng đàn bò:,Tôdrong thu ‘yoêk ñei tôpul lômo
0013,"Năm 2015, tỷ lệ bò lai chiếm 78,5% tổng đàn; tỷ lệ bò thịt chất lượng cao năm 2016 chiếm 5,9% tổng đàn bò lai.","Sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt pôñaêm, ty leâ lômo lai ‘yoêk tôpôêh jiêt tôhngam pheêi pôñaêm phaân traêm pôting tôpul; ty leâ lômo aseêch tôdrong thu ‘yoêk deâh sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt drôêu ‘yoêk pôñaêm pheêi tôxiênh phaân traêm pôting tôpul lômo lai."
0014,"Năm 2020: Tỷ lệ bò lai và bò ngoại thuần 93,8% tổng đàn; tỷ lệ bò lai/tổng đàn bò nuôi trong nông hộ chiếm 90% và tỷ lệ bò thịt chất lượng cao chiếm 16,3% tổng đàn bò lai.",Sônaêm ‘baêl ôbôêu khoâng hrieâng ‘baêl jiêt: Ty leâ lômo lai oeêng lômo ngoai thuaân tôxiênh jiêt peâng pheêi tôhngam phaân traêm pôting tôpul; ty leâ lômo lai lôêm pôting tôpul lômo rong lôêm uênh hnam ‘yoêk tôxiênh jiêt phaân traêm oeêng ty leâ lômo aseêch tôdrong thu ‘yoêk deâh ‘yoêk minh jiêt drôêu pheêi peâng phaân traêm pôting tôpul lômo lai.
0015,"Sản lượng thịt bò hơi xuất chuống năm 2015 đạt 31.849 tấn; sản lượng thịt bò chất lượng cao năm 2016 đạt 2.160 tấn chiếm 6,78%; năm 2020 đạt 48.405 tấn; trong đó, sản lượng thịt bò chất lượng cao đạt 7.520 tấn chiếm 15,53%.","San löông aseêch lômo hôi leêch adrung sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt pôñaêm ñat peâng jiêt minh ôbôêu tôhngam hrieâng puoân jiêt tôxinh taâÊn; san löông aseêch lômo tôdrong thu ‘yoêk ñei deâh sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt drôêu ñat ‘baêl ôbôêu minh hrieâng drôêu jiêt taâÊn ‘yoêk drôêu pheêi tôpôêh phaân traêm; sônaêm ‘baêl ôbôêu khoâng hrieâng ‘baêl jiêt ñat puoân jiêt tôhngam ôbôêu puoân hrieâng le pôñaêm taâÊn; lôêm ‘noh, san löông aseêch lômo tôdrong thu ‘yoêk ñei deâh ñat tôpôêh ôbôêu pôñaêm hrieâng ‘baêl jiêt taâÊn ‘yoêk minh jiêt pôñaêm pheêi pôñaêm jiêt peâng phaân traêm"
0016,Nội dung Đề án,Tôdrong Ñeâ an
0017,Lai tạo giống bò thịt chất lượng cao:,Lai tao adreâÊch lômo aseêch tôdrong thu ‘yoêk ñei deâh:
0018,"Sử dụng tinh đông lạnh (nhập ngoại) các giống bò thịt chất lượng cao: Red Angus, Blanc Bleu Belge (BBB) phối giống nhân tạo với bò cái lai Zebu (tỷ lệ máu lai > 75%), tạo bê lai hướng thịt chất lượng cao để nuôi thịt (sử dụng tinh bò nhập ngoại).","Chaê yuoâ tinh ñoâng lanh (nhôêp ngoai) rim adreâÊch lômo aseêch tôdrong thu ‘yoêk ñei deâh: Red Angus, Blanc Bleu Belge (BBB) phoâÊi adreâÊch nhaân tao adriêng lômo akanh lai Zebu ( ty leâ pham lai groâng loi tôpôêh jiêt pôñaêm phaân traêm), tao ‘beâ lai höôêng aseêch tôdrong thu ‘yoêk deâh söê rong aseêch (chaê yuoâ tinh lômo nhôêp ngoai)"
0019,Tổng số bò cái phối giống có chửa bằng tinh bò thịt chất lượng cao từ năm 2015 - 2020: 110.500 con,Pôting ksoâÊ lômo miê phoâÊi adreâÊch ôêi cheêp klak ñôêng tinh lômo aseêch tôdrdong thu ‘yoêk ñei deâh ñôêng sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt pôñaêm – ‘baêl ôbôêu khoâng hrieâng ‘baêl jiêt: minh hrieâng minh jiêt ôbôêu pôñaêm hrieâng toê
