ID,Tiếng Việt,Tiếng BaNa
1,"Quyết định về việc Ban hành hướng dẫn thực hiện một số chính sách khuyến khích, hỗ trợ khai thác, nuôi trồng hải sản và dịch vụ khai thác hải sản trên các vùng biển xa ","KueâÊt ñinh lôêm tôdrong aên leêch pôtho khan pôm minh ksoâÊ tôdrong khueâÊn khiêch, tôguêm khai thak, rong pôtaêm thuy san oeêng jiêt vuê khai thak hai san lôêm rim apung ñak tôsiê hloê"
2,Theo Quyết định số 48/2010/QĐ-TTg của Thủ tướng Chính phủ trên địa bàn tỉnh Bình Định,‘Boi KueâÊt ñinh ksoâÊ puoân jiêt tôhngam sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt/QÑ-TTg ñôêng Thu töông kôpal teh ñak lôêm tôring tinh ‘Binh Ñinh
3,Chủ tịch Ủy ban Nhân dân Tỉnh,Chu tich UBND tinh
4,Căn cứ Luật Tổ chức HĐND và UBND ngày 26/11/2003;,Kaên köê Luaât Toâ chöêk HÑND oeêng UBND ‘naêr ‘baêl jiêt drôêu kheêi minh jiêt minh sônaêm ‘baêl ôbôêu khoâng hrieâng le peâng
5,Căn cứ Quyết định số 48/2010/QĐ-TTg ngày 13/7/2010 của Thủ tướng Chính phủ ,Kaên köê KueâÊt ñinh ksoâÊ puoân jiêt tôhngam sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt/QÑ-TTg ‘naêr minh jiêt peâng kheêi tôpôêh sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt ñôêng Thu töôêng kôpal teh ñak
6,"Về một số chính sách khuyến khích, hỗ trợ khai thác, nuôi trồng hải sản và dịch vụ khai thác hải sản trên các vùng biển xa;","Lôêm minh ksoâÊ tôdrong khueâÊn khiêch, tôguêm khai thak, rong pôtaêm thuy san oeêng jiêt vuê khai thak hai san lôêm rim apung ñak tôsiê hloê"
7,"Căn cứ Thông tư Liên tịch số 11/2011/TTLT-BNN-BQP-BTC ngày 14/3/2011 của Bộ Nông nghiệp và Phát triển nông thôn, Bộ Quốc phòng, Bộ Tài chính","Kaên köê thoâng tö Lieân tich ksoâÊ minh jiêt minh sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt minh/TTLT-BNN-BQP-BTC ‘naêr minh jiêt puoân kheêi peâng sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt minh ñôêng ‘Boâ Noâng nghieâp oeêng pôjing cham pôlei, ‘Boâ Kuoâc phong, ‘Boâ Tai chiênh"
8,"Hướng dẫn thực hiện Quyết định 48/2010/QĐ-TTg ngày 13/7/2010 của Thủ tướng Chính phủ về một số chính sách khuyến khích, hỗ trợ khai thác, nuôi trồng hải sản và dịch vụ khai thác hải sản trên các vùng biển xa;","Pôtho khan pôm KueâÊt ñinh ksoâÊ puoân jiêt tôhngam sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt/QÑ-TTg ‘naêr minh jiêt peâng kheêi tôpôêh sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt ñôêng Thu töôêng kôpal teh ñak lôêm minh ksoâÊ tôdrong khueâÊn khiêch, tôguêm khai thak, rong pôtaêm hai san oeêng jiêt vuê khai thak hai san lôêm rim apung ñak tôsiê hloê"
9,Xét đề nghị của Sở Nông nghiệp và PTNT tại Tờ trình số 2709/TTr-SNN ngày 28/9/2011,Xeêt pôtho khan ñôêng Sô Noâng nghieâp oeêng pôjing cham pôlei lôêm Tô trinh ksoÊâ ‘baêl tôpôêh khoâng tôxiênh/TTr-SNN ‘naêr ‘baêl jiêt tôhngam kheêi tôxiênh sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt minh
10,"Điều 1. Ban hành kèm theo Quyết định này Hướng dẫn thực hiện một số chính sách khuyến khích, hỗ trợ khai thác, nuôi trồng hải sản và dịch vụ khai thác hải sản trên các vùng biển xa","Ñieâu minh. AÊn leêch pôteêp adriêng KueâÊt ñinh anu, KueâÊt ñinh anu pôtho khan pôm minh ksoâÊ tôdrong khueâÊn khiêch, tôguêm khai thak, rong pôtaêm hai san oeêng jiêt vuê khai thak hai san lôêm rim apung ñak tôsiê hloê."
11,Theo Quyết định số 48/2010/QĐ-TTg của Thủ tướng Chính phủ trên địa bàn tỉnh Bình Định.,‘Boi KueâÊt ñinh ksoâÊ puoân jiêt tôhngam sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt/QÑ-TTg ñôêng Thu töôêng kôpal teh ñak lôêm tôring tinh ‘Binh Ñinh
12,"Điều 2. Giao Giám đốc Sở Nông nghiệp và PTNT chủ trì, phối hợp với các cơ quan liên quan, UBND các huyện, thành phố ven biển tổ chức triển khai thực hiện.","Ñieâu’ baêl. Pôjao Giam ñoâk Sô Noâng nghieâp oeêng pôjing cham pôlei pôgôl, adriêng rim kô kuan lieân kuan, UBND rim hueân, thanh phoâÊ jeâÊ ñak tôsiê pôloêk pônhroh pôm"
