ID,Tiếng Việt,Tiếng BaNa
0001,"Quyết định về việc phê duyệt Đề cương Đề án phát triển cây trồng, vật nuôi và những sản phẩm đặc sản có lợi thế phát triển vùng đồng bào dân tộc thiểu số tỉnh Bình Định đến năm 2025","KueâÊt ñinh lôêm tôdrong pheâ jueâÊt Ñeâ köông Ñeâ an pôjing ‘long pôtaêm, xem rong oeêng rim san phaâm ñaêk san ôêi tôdrong pôjing apung naê ma kon koâng tinh ‘Binh Ñinh truh sônaêm ‘baêl ôbôêu khoâng hrieâng ‘baêl jiêt pôñaêm"
0002,Chủ tịch Ủy ban Nhân dân Tỉnh,Chu tich UBND tinh
0003,Căn cứ Luật Tổ chức Chính quyền địa phương ngày 19/6/2015;,Kaên köê Luaât Toâ chöêk khul pôgôl cham pôlei ‘naêr minh jiêt tôxiênh kheêi drôêu sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt pôñaêm
0004,Căn cứ Quyết định 449/QĐ-TTg ngày 12 tháng 3 năm 2013 của Thủ tướng Chính phủ phê duyệt Chiến lược công tác dân tộc đến năm 2020;,Kaên köê KueâÊt ñinh puoân puoân tôxiênh/QÑ-TTg ‘naêr minh jiêt ‘baêl kheêi peâng sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt peâng ñôêng Thu töôêng kôpal teh ñak pheâ jueâÊt chieâÊn löôêk tôdrong kon koâng truh sônaêm ‘baêl ôbôêu khoâng hrieâng ‘baêl jiêt
0005,Căn cứ Quyết định 2356/QĐ-TTg ngày 04 tháng 12 năm 2013 của Thủ tướng Chính phủ ban hành Chương trình hành động thực hiện Chiến lược công tác dân tộc đến năm 2020;,Kaên köê KueâÊt ñinh ksoâÊ ‘baêl peâng pôñaêm drôêu/QÑ-TTg ‘naêr puoân kheêi minh jiêt ‘baêl sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt peâng ñôêng Thu töông kôpal teh ñak aên leêch tôdrong pôm chieâÊn löôêk tôdrong kon koâng truh sônaêm ‘baêl ôbôêu khoâng hrieâng ‘baêl jiêt
0006,Căn cứ Quyết định số 3593/QĐ-UBND ngày 29/10/2014 của Ủy ban nhân dân tỉnh Bình Định về việc ban hành Kế hoạch triển khai Chiến lược và Chương trình hành động của Chính phủ thực hiện Chiến lược công tác dân tộc đến năm 2020 trên địa bàn tỉnh Bình Định;,Kaên köê KueâÊt ñinh ksoâÊ peâng pôñaêm tôxiênh peâng/QÑ-UBND ‘naêr ‘baêl jiêt tôxiênh kheêi minh jiêt sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt puoân ñôêng UBND tinh ‘Binh Ñinh lôêm tôdrong aên leêch Glong pônhroh pônhroh ChieâÊn löôêk oeêng tôdrong pôm ñôêng kôpal teh ñak pôm ChieâÊn löôêk tôdrong kon koâng truh sônaêm ‘baêl ôbôêu khoâng hrieâng ‘baêl jiêt lôêm tôring tinh ‘Binh Ñinh
0007,Xét đề nghị của Ban Dân tộc tỉnh tại Tờ trình số 150/TTr-BDT ngày 29/3/2017,Xeêt pôtho khan ñôêng Khul kon koâng tinh lôêm Tô trinh ksoâÊ minh pôñaêm khoâng/TTr-BDT ‘naêr ‘baêl jiêt tôxiênh kheêi peâng sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt tôpôêh
0008,"Điều 1. Ban hành kèm theo Quyết định này Đề cương Đề án phát triển cây trồng, vật nuôi và những sản phẩm đặc sản có lợi thế phát triển vùng đồng bào dân tộc thiểu số tỉnh Bình Định đến năm 2025; cụ thể như sau:","Ñieâu minh. AÊn leêch pôteêp adriêng KueâÊt ñinh anu Ñeâ köông Ñeâ an pôjing ‘long pôtaêm, xem rong oeêng rim san phaâm ñaêk san ôêi tôdrong pôjing apung naê ma kon koâng tinh ‘Binh Ñinh truh sônaêm ‘baêl ôbôêu khoâng hrieâng ‘baêl jiêt pôñaêm, kuê theâ in ñôêng roêng ôêu:"
0009,"Tên Đề án: Đề án phát triển cây trồng, vật nuôi và những sản phẩm đặc sản có lợi thế phát triển vùng đồng bào dân tộc thiểu số tỉnh Bình Định đến năm 2025.","Maêt Ñeâ an: Ñeâ an pôjing ‘long pôtaêm, xem rong oeêng rim san phaâm ñaêk san ôêi tôdrong pôjing apung naê ma kon koâng tinh ‘Binh Ñinh truh sônaêm ‘baêl ôbôêu khoâng hrieâng ‘baêl jiêt pôñaêm"
0010,Cơ quan chủ trì: Ban Dân tộc tỉnh Bình Định.,Kô kuan pôgôl: Khul kon koâng tinh ‘Binh Ñinh
0011,"Cơ quan phối hợp: Sở Kế hoạch và Đầu tư, Sở Nông nghiệp và Phát triển nông thôn, Sở Công Thương, Sở Tài chính, các sở có liên quan và Ủy ban nhân dân các huyện: Vĩnh Thạnh, Vân Canh, An Lão, Hoài Ân, Tây Sơn, Phù Cát.","Kô kuan adriêng pôm: Sô KeâÊ hoach oeêng Ñaâu tö, Sô Noâng nghieâp oeêng pôjing cham pôlei, Sô Koâng thöông, Sô Tai chiênh, rim sô ôêi lieân kuan oeêng UBND rim hueân: Vinh Thanh, Vaân Canh, An Lao, Hoai AÂn, Taây Sôn, Phu Cat"
0012,Thời gian xây dựng và trình Ủy ban nhân dân tỉnh: Năm 2017.,Jônang tôjung pôm oeêng trinh UBND tinh: Sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt tôpôêh
0013,Thời gian triển khai Đề án: Giai đoạn từ năm 2017 đến năm 2020 và giai đoạn từ năm 2021 - 2025.,Jônang pônhroh Ñeâ an: Jônang ñôêng sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt tôpôêh truh sônaêm ‘baêl ôbôêu khoâng hrieâng ‘baêl jiêt oeêng jônang ñôêng sônaêm ‘baêl ôbôêu khoâng hrieâng ‘baêl jiêt minh truh sônaêm ‘baêl ôbôêu khoâng hrieâng ‘baêl jiêt pôñaêm
0014,Đề cương Dự án: Có Đề cương cụ thể kèm theo.,Ñeâ köông yöê an: ÔÊi Ñeâ köông kuê theâ pôteêp adriêng
0015,Nguồn kinh phí: Kinh phí 90.000.000 đồng (Chín mươi triệu đồng) thực hiện Chiến lược công tác dân tộc đến năm 2020 (tại Quyết định số 4545/QĐ- UBND ngày 12/12/2016 của UBND tỉnh Bình Định về việc giao dự toán ngân sách nhà nước năm 2017.,Nguoân jeân: Kinh phiê tôxiênh jiêt trieâu ñoâng (tôxiênh jiêt trieâu ñoâng) pôm ChieâÊn löôêk tôdrong kon koâng truh sônaêm ‘baêl ôbôêu khoâng hrieâng ‘baêl jiêt (lôêm KueâÊt ñinh ksoâÊ puoân pôñaêm puoân pôñaêm/QÑ-UBND ‘naêr minh jiêt ‘baêl kheêi minh jiêt ‘baêl sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt drôêu ñôêng UBND tinh lôêm tôdrong pôjao yöê toaên ngaân sach kôpal sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt tôpôh
0016,"Điều 2. Trên cơ sở đề cương này, Trưởng ban Ban Dân tộc tỉnh khẩn trương thực hiện hoàn thành Đề án phát triển cây trồng, vật nuôi và những sản phẩm đặc sản có lợi thế phát triển vùng đồng bào dân tộc thiểu số tỉnh Bình Định đến năm 2025, báo cáo UBND tỉnh xem xét, quyết định.","Ñieâu ‘baêl. Lôêm tôdrong Ñeâ köông anu, Tröông ‘ban khul kon koâng tinh waê ranh pôm keh kong Ñeâ an pôjing ‘long pôtaêm, xem rong oeêng rim san phaâm ñaêk san ôêi tôdrong pôjing apung naê ma kon koâng tinh ‘Binh Ñinh truh sônaêm ‘baêl ôbôêu khoâng hrieâng ‘baêl jiêt pôñaêm, pôtho khan UBND tinh ngoê hnheêi, kueâÊt ñinh"
0017,"Điều 3. Chánh Văn phòng UBND tỉnh, Trưởng Ban Dân tộc tỉnh, Giám đốc các Sở: Tài chính, Nông nghiệp và Phát triển nông thôn, Công Thương, Chủ tịch UBND các huyện: Vĩnh Thạnh, Vân Canh, An Lão, Hoài Ân, Tây Sơn, Phù Cát và Thủ trưởng các sở, ban ngành liên quan chịu trách nhiệm thi hành Quyết định này kể từ ngày ký./.","Ñieâu peâng. Chaênh Vaên phong UBND tinh, Tröông ‘ban Khul kon koâng tinh, Giam ñoâk rim Sô: Tai chiênh, Noâng nghieâp oeêng pôjing cham pôlei, Koâng thöông, Chu tich UBND rim hueân: Vinh Thanh, Vaân Canh, An Lao, Hoai AÂn, Taây Sôn, Phu Cat oeêng pôgôl rim sô, ‘ban nganh lieân kuan ôêi tôdrong pôm kueâÊt ñinh anu khan ñôêng ‘naêr kyê./."
0018,"Đề cương đề án phát trien cây trồng, vật nuôi và những sản phẩm đặc sản có lợi thế phát triển vùng đồng bào dân tộc thiểu số tỉnh Bình Định đến năm 2025","Ñeâ köông pôjing ‘long pôtaêm, xem rong oeêng rim san phaâm ñaêk san ôêi tôdrong pôjing apung naê ma kon koâng tinh ‘Binh Ñinh truh sônaêm ‘baêl ôbôêu khoâng hrieâng ‘baêl jiêt pôñaêm"
0019,(Kèm theo Quyết định số: 1209/QĐ-UBNDngày 05/4/2017 của Chủ tịch UBND tỉnh),(Pôteêp adriêng KueâÊt ñinh ksoâÊ: minh ‘baêl khoâng tôxiênh/QÑ-UBND ‘naêr pôñaêm kheêi puoân sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt tôpôêh ñôêng Chu tich UBND tinh)
0020,Phần I Đặt vấn đề,Phaân minh: Ñaêt vaâÊn ñeâ
0021,Sự cần thiết xây dựng đề án,Tôdrong kô waê tôjung pôm ñeâ an
0022,Căn cứ để xây dựng đề án,Tôdrong söê tôjung pôm ñeâ an
0023,"Đối tượng, phạm vi và thời gian thực hiện đề án","ÑoâÊi töông, pham vi oeêng jônang pôm ñeâ an"
0024,Đối tượng,ÑoâÊi töông
0025,"Các loại cây lâm nghiệp: Cây gỗ, lâm sản ngoài gỗ: Dược liệu, gia vị..;","Rim loai ‘long laâm nghieâp: ‘Long, laâm san minh kôpah ‘long: jöôêk lieâu, gia vi…"
0026,"Các loại cây trồng (cây công nghiệp, cây ăn quả, cây rau và cây lương thực);","Rim loai ‘long pôtaêm (‘long koâng nghieâp, ‘long sa pleêi, ‘long hla nheêm oeêng ‘long löông thöêk)"
0027,"Các loài vật nuôi (gia súc, gia cầm, thủy sản);","Rim loai xem rong (kapoâ, lômo, ‘yeêr, ôda, thuy san)"
0028,"Các sản phẩm đặc sản phù hợp với điều kiện sinh thái, đất đai của khu vực và có giá trị kinh tế cao.","Rim san phaâm ñaêk san trô troê adriêng tôdrong sinh thaêi, teh ñôêng apung oeêng ôêi giaê tri kinh teâÊ deâh"
0029,Phạm vi,Pham vi
0030,"Đề án thực hiện trên địa bàn 6 huyện có đồng bào dân tộc thiểu số gồm: Vân Canh, Vĩnh Thạnh, An Lão, Hoài Ân, Tây Sơn, Phù Cát.","Ñeâ an pôm lôêm tôring drôêu hueân ôêi naê ma kon koâng thoi leê: Vaân Canh, Vinh Thanh, An Lao, Hoai AÂn, Taây Sôn, Phu Cat"
0031,Thời gian thực hiện: Thời gian thực hiện Đề án chia làm 2 giai đoạn: Đến năm 2020 và đến năm 2025.,Jônang pôm: Jônang pôm ñeâ an asong pôm ‘baêl jônang: Truh sônaêm ‘baêl ôbôêu khoâng hrieâng ‘baêl jiêt oeêng truh sônaêm ‘baêl ôbôêu khoâng hrieâng ‘baêl jiêt pôñaêm
0032,Phương pháp nghiên cứu,Tôdrong nghieân köêu
0033,"Phương pháp điều tra, khảo sát và thu thập số liệu",Tôdrong ngoê hnheêi oeêng thu thaâp ksoâÊ lieâu
0034,"Phương pháp phân tích, tổng hợp","Tôdrong phaân tiêch, toâng hôêp"
0035,Phương pháp lấy ý kiến tham gia của các cơ quan.,Tôdrong ‘yoêk yê kieâÊn adriêng pôm ñôêng rim kô kuan
