ID,Tiếng Việt,Tiếng BaNa
0001,Quyết định về việc ban hành Kế hoạch hành động bảo đảm an toàn thực phẩm trong lĩnh vực nông nghiệp năm 2020 trên địa bàn tỉnh,KueâÊt ñinh lôêm tôdrong aên leêch glong pônhroh tôdrong tômaên tôl an toan ñoâ sa lôêm tôdrong noâng nghieâp sônaêm ‘baêl ôbôêu khoâng hrieâng ‘baêl jiêt lôêm tôring tinh
0002,Chủ tịch Ủy ban Nhân dân Tỉnh,Chu tich UBND tinh
0003,Căn cứ Luật Tổ chức chính quyền địa phương ngày 19/6/2015;,Kaên köê Luaât Toâ chöêk khul pôgôl cham pôlei ‘naêr minh jiêt tôxiênh kheêi drôêu sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt pôñaêm
0004,Căn cứ Quyết định số 134/QĐ-BNN-QLCL ngày 08/01/2020 của Bộ trưởng Bộ Nông nghiệp và PTNT về ban hành Kế hoạch hành động bảo đảm an toàn thực phẩm trong lĩnh vực nông nghiệp năm 2020;,Kaên köê KueâÊt ñinh ksoâÊ minh peâng puoân/QÑ-BNN-QLCL ‘naêr tôhngam kheêi minh sônaêm ‘baêl ôbôêu khoâng hrieâng ‘baêl jiêt ñôêng ‘Boâ tröông ‘Boâ Noâng nghieâp oeêng pôjing cham pôlei lôêm aên leêch glong pônhroh tôdrong tômaên tôl an toan ñoâ sa lôêm tôdrong noâng nghieâp sônaêm ‘baêl ôbôêu khoâng hrieâng ‘baêl jiêt
0005,Theo đề nghị của Sở Nông nghiệp và PTNT tại Tờ trình số 102/TTr-SNN ngày 07/4/2020.,‘Boi pôtho khan ñôêng Sô noâng nghieâp oeêng pôjing cham pôlei lôêm Tô trinh ksoâÊ minh khoâng ‘baêl/TTr-SNN ‘naêr tôpôêh kheêi puoân sônaêm ‘baêl ôbôêu khoâng hrieâng ‘baêl jiêt
0006,Điều 1. Ban hành kèm theo Quyết định này Kế hoạch hành động bảo đảm an toàn thực phẩm (ATTP) trong lĩnh vực nông nghiệp năm 2020 trên địa bàn tỉnh.,Ñieâu minh. AÊn leêch pôteêp adriêng KueâÊt ñinh anu Glong pônhroh tôdrong tômaên tôl an toan ñoâ sa lôêm tôdrong noâng nghieâp sônaêm ‘baêl ôbôêu khoâng hrieâng ‘baêl jiêt lôêm tôdrong noâng nghieâp
0007,"Điều 2. Giao Sở Nông nghiệp và PTNT chủ trì, phối hợp với UBND các huyện, thị xã, thành phố và các cơ quan liên quan tổ chức triển khai thực hiện có hiệu quả Kế hoạch này trên địa bàn tỉnh.","Ñieâu ‘baêl. Pôjao Sô Noâng nghieâp oeêng pôjing cham pôlei pôgôl, adriêng UBND rim hueân, thi xa, thanh phoâÊ oeêng rim kô kuan lieân kuan pôloêk pônhroh pôm ôêi thu ‘yoêk glong pônhoh anu lôêm tôring tinh"
0008,"Điều 3. Chánh Văn phòng UBND tỉnh, Giám đốc các Sở: Nông nghiệp và PTNT, Y tế, Công Thương, Tài chính và Thủ trưởng các cơ quan, đơn vị liên quan chịu trách nhiệm thi hành Quyết định này kể từ ngày ký./","Ñieâu peâng. Chaênh Vaên phong UBND tinh, Giam ñoâk rim Sô: Noâng nghieâp oeêng pôjing cham pôlei, Y teâÊ, Koâng thöông, Tai chiênh oeêng pôgôl rim kô kuan, ñôn vi lieân kuan ôêi tôdrong pôm KueâÊt ñinh anu khan ñôêng ‘naêr kyê./."
0009,Kế hoạch hành động bảo đảm an toàn thực phẩm trong lĩnh vực Nông nghiệp năm 2020” trên địa bàn tỉnh,Glong pônhroh tôdrong tômaên tôl an toan ñoâ sa lôêm tôdrong noâng nghieâp sônaêm ‘baêl ôbôêu khoâng hrieâng ‘baêl jiêt lôêm tôring tinh
0010,(Ban hành kèm theo Quyết định số: 1355/QĐ-UBND ngày 13/4/2020 của Chủ tịch UBND tỉnh Bình Định),(AÊn leêch pôteêp adriêng KueâÊt ñinh ksoâÊ: Minh peâng pôñaêm pôñaêm/QÑ-UBND ‘naêr minh jiêt peâng kheêi puoân sônaêm ‘baêl ôbôêu khoâng hrieâng ‘baêl jiêt ñôêng Chu tich UBND tinh Binh Ñinh)
0011,Mục tiêu,Muêk tieâu
0012,"Nhằm nâng cao hiệu lực, hiệu quả công tác quản lý chất lượng, an toàn thực phẩm;",Söê poâk xuoân tôdrong thu ‘yoêk tôdrong ngoê hnheêi tôdrong thu ‘yoêk ñei an toan ñoâ sa
0013,"Giảm thiểu ô nhiễm sinh học, tạp chất và tồn dư thuốc bảo vệ thực vật, thuốc thú y, hóa chất, kháng sinh trong sản xuất kinh doanh thực phẩm nông lâm thủy sản,","Tôjul oâ nhieâm sinh hoêk, tap chaâÊt oeêng toân yö bôgang jö vei ‘long pôtaêm, bôgang thuê y, hoêa chaâÊt, khang sinh lôêm choh jang teêch bôdro ñoâ sa noâng laâm thuy san"
0014,Đáp ứng yêu cầu bảo đảm an toàn thực phẩm cho tiêu dùng trong nước và mở rộng thị trường xuất khẩu thuộc phạm vi quản lý của Ngành Nông nghiệp.,Tôguêm tôdrong waê tômaên tôl an toan ñoâ sa aên chaê yuoâ lôêm teh ñak oeêng pôloêk saê thi tröông xuaât khôu oei lôêm kôbraê tôdrong ngoê hnheêi ñôêng nganh noâng nghieâp
0015,Kết quả cần đạt,Thu ‘yoêk waê ñat
0016,"Tiếp tục giám sát, kiểm tra, xử lý vi phạm tại các vùng sản xuất rau củ, quả an toàn năm 2019 trên địa bàn tỉnh và các vùng lân cận Dự án sản xuất rau an toàn; ","Ling lang ngoê hnheêi, xö lyê pôm glaêi lôêm rim apung choh jang hla nheêm, ‘muêm, pleêi an toan sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt tôxiênh lôêm tôring tinh oeêng rim apung oei jeâÊ yöê an choh jang hla nheêm an toan"
