ID,Tiếng Việt,Tiếng BaNa
0001,Quyết định về việc công bố Danh mục thủ tục hành hành chính thay thế trong lĩnh vực lâm nghiệp thuộc phạm vi chức năng quản lý của Sở Nông nghiệp và Phát triển nông thôn tỉnh Bình Định,KueâÊt ñinh lôêm tôdrong koâng ‘boâÊ yanh muêk thu tuêk hanh chiênh tôplih lôêm tôdrong laâm nghieâp oei lôêm kôbraê tôdrong ngoê hnheêi ñôêng Sô Noâng nghieâp oeêng pôjing cham pôlei tinh ‘Binh Ñinh
0002,Chủ tịch Ủy ban Nhân dân Tỉnh,Chu tich UBND tinh
0003,Căn cứ Luật Tổ chức chính quyền địa phương ngày 19 tháng 6 năm 2015;,Kaên köê Luaât Toâ chöêk khul pôgôl cham pôlei ‘naêr minh jiêt tôxiênh kheêi drôêu sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt pôñaêm
0004,Căn cứ Nghị định số 63/2010/NĐ-CP ngày 08 tháng 6 năm 2010 của Chính phủ về kiểm soát thủ tục hành chính;,Kaên köê Nghiê ñinh ksoâÊ drôêu jiêt peâng sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt/NÑ-CP ‘naêr tôhngam kheêi drôêu sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt ñôêng kôpal teh ñak lôêm ngoê hnheêi thu tuêk hanh chiênh
0005,"Nghị định số 92/2017/NĐ-CP ngày 07 tháng 8 năm 2017 của Chính phủ sửa đổi, bổ sung một số điều của các nghị định liên quan đến kiểm soát thủ tục hành chính;","Nghiê ñinh ksoâÊ tôxiênh jiêt ‘baêl sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt tôpôêh/NÑ-CP ‘naêr tôpôêh kheêi tôhngam sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt tôpôêh ñôêng kôpal teh ñak tôplih, tôguêm minh ksoâÊ tôdrong ñôêng nghiê ñinh lieân kuan truh ngoê hnheêi thu tuêk hanh chiênh"
0006,"Căn cứ Thông tư số 02/2017/TT-VPCP ngày 31 tháng 10 năm 2017 của Bộ trưởng, Chủ nhiệm Văn phòng Chính phủ hướng dẫn nghiệp vụ về kiểm soát thủ tục hành chính;","Kaên köê Thoâng tö ksoâÊ khoâng ‘baêl sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt tôpôêh/TT-VPCP ‘naêr peâng jiêt minh kheêi minh jiêt sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt tôpôêh ñôêng ‘Boâ tröông, Chu nhieâm Vaên phong kôpal teh ñak pôtho khan tôdrong lôêm ngoê hnheêi thu tuêk hanh chiênh"
0007,Căn cứ Quyết định số 4751/QĐ-BNN-TCLN ngày 11 tháng 12 năm 2019 của Bộ trưởng Bộ Nông nghiệp và Phát triển nông thôn về việc công bố thủ tục hành chính thay thế thuộc phạm vi chức năng quản lý của Bộ Nông nghiệp và Phát triển nông thôn;,Kaên köê KueâÊt ñinh ksoâÊ puoân tôpôêh pôñaêm minh/QÑ-BNN-TCLN ‘naêr minh jiêt minh kheêi minh jiêt ‘baêl sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt tôxiênh ñôêng ‘Boâ tröông ‘Boâ Noâng nghieâp oeêng pôjing cham pôlei lôêm tôdrong koâng ‘boÊâ thu tuêk hanh chiênh tôplih oei lôêm kôbraê tôdrong ngoê hnheêi ñôêng ‘Boâ Noâng nghieâp oeêng pôjing cham pôlei.
0008,Xét đề nghị của Giám đốc Sở Nông nghiệp và Phát triển nông thôn tỉnh Bình Định tại Tờ trình số 379/TTr-SNN ngày 24 tháng 12 năm 2019,Xeêt pôtho khan ñôêng Giam ñoâk Sô Noâng nghieâp oeêng pôjing cham pôlei tinh ‘Binh Ñinh lôêm Tô trinh ksoâÊ peâng tôpôêh tôxiênh/TTr-SNN ‘naêr ‘baêl jiêt puoân kheêi minh jiêt ‘baêl sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt tôxiênh.
0009,Điều 1. Công bố kèm theo Quyết định này Danh mục thủ tục hành chính thay thế trong lĩnh vực lâm nghiệp thuộc phạm vi chức năng quản lý của Sở Nông nghiệp và Phát triển nông thôn tỉnh Bình Định,Ñieâu minh. Koâng ‘boâÊ pôteêp adriêng KueâÊt ñinh anu yanh muêk thu tuêk hanh chiênh tôplih lôêm tôdrong laâm nghieâp oei lôêm kôbraê tôdrong ngoê hnheêi ñôêng Sô Noâng nghieâp oeêng pôjing cham pôlei tinh ‘Binh Ñinh
0010,Theo Quyết định số 4751/QĐ-BNN-TCLN ngày 11 tháng 12 năm 2019 của Bộ trưởng Bộ Nông nghiệp và Phát triển nông thôn (Phụ lục 01 kèm theo).,‘Boi KueâÊt ñinh ksoâÊ puoân tôpôêh pôñaêm minh/QÑ-BNN-TCLN ‘naêr minh jiêt minh kheêi minh jiêt ‘baêl sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt tôxiênh ñôêng ‘Boâ tröông ‘Boâ Noâng nghieâp oeêng pôjing cham pôlei (phu luêk minh pôteêp adriêng)
0011,Điều 2. Quyết định này bãi bỏ 06 thủ tục hành chính trong lĩnh vực lâm nghiệp thuộc phạm vi chức năng quản lý của Sở Nông nghiệp và Phát triển nông thôn đã công bố,Ñieâu ‘baêl. KueâÊt ñinh anu tuêk drôêu thu tuêk hanh chiênh lôêm tôdrong laâm nghieâp oei lôêm kôbraê tôdrong ngoê hnheêi ñôêng Sô Noâng nghieâp oeêng pôjing cham pôlei jôh pôtho khan
0012,"Theo Quyết định số 2164/QĐ-UBND ngày 19 tháng 6 năm 2017, Quyết định số 1791/QĐ-UBND ngày 29 tháng 5 năm 2018 của Chủ tịch Ủy ban nhân tỉnh Bình Định (Phụ lục 02 kèm theo).","‘Boi KueâÊt ñinh ksoâÊ ‘baêl minh drôêu puoân/QÑ-UBND ‘naêr minh jiêt tôxiênh kheêi drôêu sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt tôpôêh, KueâÊt ñinh ksoâÊ minh tôpôêh tôxiênh minh/QÑ-UBND ‘naêr ‘baêl jiêt tôxiênh kheêi pôñaêm sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt tôhngam ñôêng chu tich UBND tinh ‘Binh Ñinh (Phu luêk ‘baêl pôteêp adriêng)"
0013,"Điều 3. Chánh Văn phòng Ủy ban nhân dân tỉnh, Giám đốc Sở Nông nghiệp và Phát triển nông thôn, Giám đốc Trung tâm Phục vụ hành chính công tỉnh;","Ñieâu peâng. Chaênh Vaên phong UBND tinh, Giam ñoâk Sô Noâng nghieâp oeêng pôjing cham pôlei, Giam ñoâk trung taâm tôguêm hanh chiênh koâng tinh;"
0014,"Chủ tịch Ủy ban nhân dân các huyện, thị xã, thành phố và các tổ chức, cá nhân có liên quan chịu trách nhiệm thi hành Quyết định này kể từ ngày ký. ","Chu tich UBND rim hueân, thi xa, thanh phoâÊ oeêng rim toâ chöêk, kôdih ôkôêu ôêi lieân kuan ôêi tôdrong pôm KueâÊt ñinh anu khan ñôêng ‘naêr kyê."
