ID,Tiếng Việt,Tiếng BaNa
1,Quyết định công bố Danh mục thủ tục hành chính mới ban hành trong lĩnh vực Chăn nuôi thuộc phạm vi chức năng quản lý của Sở Nông nghiệp và Phát triển nông thôn tỉnh Bình Định,KueâÊt ñinh koâng ‘boâÊ yanh muêk thu tuêk hanh chiênh anao aên leêch lôêm tôdrong kiêa rong oei lôêm kôbraê tôdrong ngoê hnheêi ñôêng Sô Noâng nghieâp oeêng pôjing cham pôlei tinh ‘Binh Ñinh
2,Chủ tịch Ủy ban Nhân dân Tỉnh,Chu tich UBND tinh
3,Căn cứ Luật Tổ chức chính quyền địa phương ngày 19 tháng 6 năm 2015;,Kaên köê Luaât Toâ chöêk khul pôgôl cham pôlei ‘naêr minh jiêt tôxiênh kheêi drôêu sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt pôñaêm
4,Căn cứ Nghị định số 63/2010/NĐ-CP ngày 08 tháng 6 năm 2010 của Chính phủ về kiểm soát thủ tục hành chính;,Kaên köê nghiê ñinh ksoâÊ drôêu jiêt peâng sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt/NÑ-CP ‘naêr tôhngam kheêi drôêu sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt ñôêng kôpal teh ñak lôêm ngoê hnheêi thu tuêk hanh chiênh
5,"Nghị định số 92/2017/NĐ-CP ngày 07 tháng 8 năm 2017 của Chính phủ sửa đổi, bổ sung một số điều của các nghị định liên quan đến kiểm soát thủ tục hành chính;","Nghiê ñinh ksoâÊ tôxiênh jiêt ‘baêl sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt tôpôêh/NÑ-CP ‘naêr tôpôêh kheêi tôhngam sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt tôpôêh ñôêng kôpal teh ñak tôplih, tôguêm minh ksoâÊ tôdrong ñôêng rim nghi ñinh lieân kuan truh ngoê hnheêi thu tuêk hanh chiênh"
6,"Căn cứ Thông tư số 02/2017/TT-VPCP ngày 31 tháng 10 năm 2017 của Bộ trưởng, Chủ nhiệm Văn phòng Chính phủ hướng dẫn nghiệp vụ về kiểm soát thủ tục hành chính;","Kaên köê Thoâng tö ksoâÊ khoâng ‘baêl sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt tôpôêh/TT-VPCP ‘naêr peâng jiêt minh kheêi minh jiêt sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt tôpôêh ñôêng ‘Boâ tröông, Chu nhieâm Vaên phong kôpal teh ñak pôtho khan nghieâp vuê lôêm ngoê hnheêi thu tuêk hanh chiênh"
7,"Căn cứ Quyết định số 823/QĐ-BNN-CN ngày 16 tháng 3 năm 2020 của Bộ trưởng Bộ Nông nghiệp và Phát triển nông thôn về việc công bố thủ tục hành chính mới ban hành, thay thế, bị bãi bỏ lĩnh vực chăn nuôi thuộc phạm vi chức năng quản lý của Bộ Nông nghiệp và Phát triển nông thôn;","Kaên köê KueâÊt ñinh ksoâÊ tôhngam ‘baêl peâng/QÑ-BNN-CN ‘naêr minh jiêt drôêu kheêi peâng sônaêm ‘baêl ôbôêu khoâng hrieâng ‘baêl jiêt ñôêng ‘Boâ tröông ‘Boâ Noâng nghieâp oeêng pôjing cham pôlei lôêm tôdrong koâng ‘boâÊ thu tuêk hanh chiênh anao aên leêch, tôplih, biê tuêk tôdrong kiêa rong oei lôêm kôbraê tôdrong ngoê hnheêi ñôêng ‘Boâ Noâng nghieâp oeêng pôjing cham pôlei"
8,Theo đề nghị của Giám đốc Sở Nông nghiệp và Phát triển nông thôn tại Tờ trình số 174/TTr-SNN ngày 28 tháng 5 năm 2020.,‘Boi pôtho khan ñôêng Giam ñoâk Sô Noâng nghieâp oeêng pôjing cham pôlei lôêm Tô trinh ksoâÊ minh tôpôêh puoân/TTr-SNN ‘naêr ‘baêl jiêt tôhngam kheêi pôñaêm sônaêm ‘baêl ôbôêu khoâng hrieâng ‘baêl jiêt
9,Điều 1. Công bố kèm theo Quyết định này Danh mục 04 thủ tục hành chính mới ban hành trong lĩnh vực Chăn nuôi thuộc phạm vi chức năng quản lý của Sở Nông nghiệp và Phát triển nông thôn theo Quyết định số 823/QĐ-BNN-CN ngày 16 tháng 3 năm 2020 của Bộ trưởng Bộ Nông nghiệp và Phát triển nông thôn (có Phụ lục kèm theo).,Ñieâu minh. Koâng ‘boâÊ pôteêp adriêng KueâÊt ñinh anu yanh muêk puoân thu tuêk hanh chiênh anao aên leêch lôêm tôdrong kiêa rong oei lôêm kôbraê tôdrong ngoê hnheêi ñôêng Sô Noâng nghieâp oeêng pôjing cham pôlei ‘boi KueâÊt ñinh ksoâÊ tôhngam ‘baêl peâng/QÑ-BNN-CN ‘naêr minh jiêt drôêu kheêi peâng sônaêm ‘baêl ôbôêu khoâng hrieâng ‘baêl jiêt ñôêng ‘Boâ tröông ‘Boâ Noâng nghieâp oeêng pôjing cham pôlei (ôêi phuê luêk pôteêp adriêng)
10,"Điều 2. Giám đốc Sở Nông nghiệp và Phát triển nông thôn chịu trách nhiệm xây dựng dự thảo, trình Chủ tịch Ủy ban nhân dân tỉnh phê duyệt quy trình nội bộ giải quyết 04 thủ tục hành chính được công bố tại Điều 1 Quyết định này.","Ñieâu ‘baêl. Giam ñoâk Sô Noâng nghieâp oeêng pôjing cham pôlei ôêi tôdrong tôjung pôm yöê thao, trinh Chu tich UBND tinh pheâ jueâÊt tôdrong noâi ‘boâÊ tôguêm puoân thu tuêk hanh chiênh ñei koâng ‘boâÊ lôêm Ñieâu minh KueâÊt ñinh anu"
