ID,Tiếng Việt,Tiếng BaNa
1,"Quyết định về việc ban hành Kế hoạch thực hiện Chỉ thị số 1391/CT-BNN-PCTT ngày 25/02/2020 của Bộ Nông nghiệp và phát triển nông thôn về việc tăng cường công tác quản lý đê điều và chuẩn bị sẵn sàng hộ đê, chống lũ, bão năm 2020 trên địa bàn tỉnh","KueâÊt ñinh lôêm tôdrong aên leêch glong pônhroh pôm Chi thi ksoâÊ minh peâng tôxiênh minh/CT-BNN-PCTT ‘naêr ‘baêl jiêt pôñaêm kheêi ‘baêl sônaêm ‘baêl ôbôêu khoâng hrieâng ‘baêl jiêt ñôêng ‘Boâ Noâng nghieâp oeêng pôjing cham pôlei lôêm tôdrong kjung tôdrong ngoê hnheêi böêt ñak oeêng chuaân ‘bi goâ ñeêch tôguêm böêt ñak, dôt ñak tih, ami but sônaêm ‘baêl ôbôêu khoâng hrieâng ‘baêl jiêt lôêm tôring tinh"
2,Căn cứ Luật Tổ chức chính quyền địa phương ngày 19/6/2015,Kaên köê Luaât Toâ chöêk khul pôgôl cham pôlei ‘naêr minh jiêt tôxiênh kheêi drôêu sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt pôñaêm
3,Căn cứ Luật Đê điều ngày 29/11/2006,Kaên köê Luaât Ñeâ ñieâu ‘naêr ‘baêl jiêt tôxiênh kheêi minh jiêt minh sônaêm ‘baêl ôbôêu khoâng hrieâng le drôêu
4,Căn cứ Luật Phòng chống thiên tai ngày 19/6/2013,Kaên köê Luaât phong dôt thieân tai ‘naêr minh jiêt tôxiênh kheêi drôêu sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt peâng
5,"Căn cứ Chỉ thị số 1391/CT-BNN-PCTT ngày 25/02/2020 của Bộ Nông nghiệp và Phát triển nông thôn về việc tăng cường công tác quản lý đê điều và chuẩn bị sẵn sàng hộ đê, chống lũ, bão năm 2020","Kaên köê Chi thi ksoâÊ minh peâng tôxiênh minh/CT-BNN-PCTT ‘naêr ‘baêl jiêt pôñaêm kheêi ‘baêl sônaêm ‘baêl ôbôêu khoâng hrieâng ‘baêl jiêt ñôêng ‘Boâ Noâng nghieâp oeêng pôjing cham pôlei lôêm tôdrong kjung tôdrong ngoê hnheêi böêt ñak oeêng chuaân ‘bi goâ ñeêch tôguêm böêt ñak, dôt ñak tih, ami but sônaêm ‘baêl ôbôêu khoâng hrieâng ‘baêl jiêt"
6,Theo đề nghị của Sở Nông nghiệp và Phát triển nông thôn tại Văn bản số 1091/SNN-TL ngày 18/5/2020,‘Boi pôthop khan ñôêng Sô Noâng nghieâp oeêng pôjing cham pôlei lôêm Vaên ‘ban ksoâÊ minh khoâng tôxiênh minh/SNN-TL ‘naêr minh jiêt tôhngam kheêi pôñaêm sônaêm ‘baêl ôbôêu khoâng hrieâng ‘baêl jiêt
7,"Ban hành kèm theo Quyết định này Kế hoạch thực hiện Chỉ thị số 1391/CT-BNN-PCTT ngày 25/02/2020 của Bộ Nông nghiệp và Phát triển nông thôn về việc tăng cường công tác quản lý đê điều và chuẩn bị sẵn sàng hộ đê, chống lũ, bão năm 2020 trên địa bàn tỉnh","AÊn leêch pôteêp adriêng KueâÊt ñinh anu glong pônhroh pôm Chi thi ksoâÊ minh peâng tôxiênh minh/CT-BNN-PCTT ‘naêr ‘baêl jiêt pôñaêm kheêi ‘baêl sônaêm ‘baêl ôbôêu khoâng hrieâng ‘baêl jiêt ñôêng ‘Boâ Noâng nghieâp oeêng pôjing cham pôlei lôêm tôdrong kjung tôdrong ngoê hnheêi böêt ñak oeêng chuaân ‘bi goâ ñeêch tôguêm böêt ñak, dôt ñak tih, ami but sônaêm ‘baêl ôbôêu khoâng hrieâng ‘baêl jiêt lôêm tôring tinh"
8,"Giám đốc Sở Nông nghiệp và Phát triển nông thôn chủ trì, phối hợp với các cơ quan, đơn vị có liên quan theo dõi, đôn đốc, kiểm tra việc triển khai thực hiện Kế hoạch này","Giam ñoâk Sô Noâng nghieâp oeêng pôjing cham pôlei pôgôl, adriêng rim kô kuan, ñôn viê ôêi lieân kuan pôtho khan, ngoê hnheêi tôdrong pônhroh pôm glong pônhroh anu"
9,"Tổng hợp báo cáo, đề xuất Ủy ban nhân dân tỉnh xem xét, chỉ đạo thực hiện","Toâng hôêp pôthgo khan, pôkaê UBND ngoê hnhei, pôgôl pôm"
10,"Chánh Văn phòng Ủy ban nhân dân tỉnh, Giám đốc các Sở: Nông nghiệp và Phát triển nông thôn, Tài nguyên và Môi trường, Chủ tịch Ủy ban nhân dân các huyện, thị xã, thành phố và Thủ trưởng các cơ quan, đơn vị có liên quan chịu trách nhiệm thi hành Quyết định này kể từ ngày ký","Chaênh vaên phong UBND tinh, Giam ñoâk rim Sô: Noâng nghieâp oeêng pôjing cham pôlei, Tai ngueân oeêng Moâi tröông, Chu tich UBND rim hueân, thi xa, thanh phoâÊ oeêng pôgôl rim kô kuan, ñôn viê ôêi lieân kuan ôêi tôdrong pôm KueâÊt ñinh anu khan ñôêng ‘naêr kyê"
