ID,Tiếng Việt,Tiếng BaNa
1,"Quyết định về việc phân công, phân câp thực hiện nhiệm vụ thanh tra, kiểm tra, giám sát đảm bảo an toàn thực phẩm nông lâm thủy sản; quản lý chât lượng vật tư nông nghiệp và nước sinh hoạt nông thôn thuộc phạm vi quản lý của ngành Nông nghiệp và Phát triên nông thôn trên địa bàn tỉnh Bình Định","KueâÊt ñinh lôêm tôdrong phaân koâng, phaân kôêp pôm tôdrong ngoê hnheêi tômaên tôl an toan ñoâ sa noâng laâm thuy san; ngoê hnheêi tôdrong thu ‘yoêk ñei vaât tö noâng nghieâp oeêng ñak sinh hoat cham pôlei oei lôêm kôbraê tôdrong ngoê hnheêi ñôêng nganh Noâng nghieâp oeêng pôjing cham pôlei lôêm tôring tinh ‘Binh Ñinh"
2,Ủy ban Nhân dân tỉnh Bình Định,UBND tinh ‘Binh Ñinh
3,Căn cứ Luật Tổ chức chính quyền địa phương ngày 19 tháng 6 năm 2015;,Kaên köê Luaât Toâ chöêk khul pôgôl cham pôlei ‘naêr minh jiêt tôxiênh kheêi drôêu sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt pôñaêm
4,Căn cứ Luật Ban hành văn bản quy phạm pháp luật ngày 22 tháng 6 năm 2015;,Kaên köê Luaât aên leêch vaên ‘ban kuy pham phap luaât ‘naêr ‘baêl jiêt ‘baêl kheêi drôêu sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt pôñaêm
5,"Căn cứ Thông tư liên tịch số 13/2014/TTLT-BYT-BNNPTNT-BCT ngày 09 tháng 4 năm 2014 của Bộ trưởng: Bộ Y Tế, Bộ Nông nghiệp và Phát triển nông thôn và Bộ Công Thương về việc hướng dân phân công, phối hợp trong quản lý nhà nước về an toàn thực phẩm;","Kaên köê Thoâng tö lieân tich ksoâÊ minh jiêt peâng sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt puoân/TTLT-BYT-BNNPTNT-BCT ‘naêr tôxiênh kheêi puoân sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt puoân ñôêng ‘Boâ tröông: ‘Boâ Y teâÊ, ‘Boâ Noâng nghieâp oeêng pôjing cham pôlei oeêng ‘Boâ Koâng thöông lôêm tôdrong pôtho khan phaân koâng, adriêng pôm lôêm ngoê hnheêi kôpal lôêm an toan ñoâ sa"
6,"Căn cứ Thông tư liên tịch số 14/2015/TTLT-BNNPTNT-BNV ngày 25 tháng 3 năm 2015 của Bộ trưởng: Bộ Nông nghiệp và Phát triển nông thôn và Bộ Nội vụ về việc hướng dân chức năng, nhiệm vụ, quyền hạn và cơ cấu tổ chức của cơ quan chuyên môn về nông nghiệp và phát triển nông thôn thuộc Ủy ban nhân dân cấp tỉnh, cấp huyện;","Kaên köê Thoâng tö lieân tich ksoâÊ minh jiêt puoân sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt pôñaêm/TTLT-BNNPTNT-BNV ‘naêr ‘baêl jiêt pôñaêm kheêi peâng sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt pôñaêm ñôêng ‘Boâ tröông: ‘Boâ Noâng nghieâp oeêng pôjing cham pôlei oeêng ‘Boâ Noâi vuê lôêm tôdrong pôtho khan chöêk naêng, tôdrong pôm, kueân han oeêng tôdrong toâ chöêk ñôêng kô kuan chueân moân lôêm noâng nghieâp oeêng pôjing cham pôlei oei lôêm kôbraê UBND kôêp tinh, kôêp hueân"
7,Căn cứ Thông tư số 15/2015/TT-BNNPTNT ngày 26 tháng 3 năm 2015 của Bộ trưởng Bộ Nông nghiệp và Phát triển nông thôn về việc hướng dân nhiệm vụ các chi cục và các tổ chức sự nghiệp trực thuộc Sở Nông nghiệp và Phát triển nông thôn;,Kaên köê Thoâng tö ksoâÊ minh jiêt pôñaêm sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt pôñaêm/TT-BNNPTNT ‘naêr ‘baêl jiêt drôêu kheêi peâng sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt pôñaêm ñôêng ‘Boâ tröông ‘Boâ Noâng nghieâp oeêng pôjing cham pôlei lôêm tôdrong pôtho khan tôdrong pôm rim chi kuêk oeêng rim toâ chöêk sö nghieâp oei lôêm kôbraê Sô Noâng nghieâp oeêng pôjing cham pôlei
8,"Căn cứ Thông tư số 17/2018/TT-BNNPTNT ngày 31 tháng 10 năm 2018 của Bộ trưởng Bộ Nông nghiệp và Phát triển nông thôn quy định phương thức quản lý điều kiện bảo đảm an toàn thực phẩm đối với cơ sở sản xuất, kinh doanh thực phẩm nông lâm thủy sản không thuộc diện cấp giấy chứng nhận cơ sở đủ điều kiện an toàn thực phẩm;","Kaên köê Thoâng tö ksoâÊ minh jiêt tôpôêh sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt tôhngam/TT-BNNPTNT ‘naêr peâng jiêt minh kheêi minh jiêt sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt tôhngam ñôêng ‘Boâ tröông ‘Boâ Noâng nghieâp oeêng pôjing cham pôlei kuy ñinh tôdrong ngoê hnheêi tôdrong tômaên tôl an toan ñoâ sa adriêng dônoê choh jang, teêch bôdro ñoâ sa noâng laâm thuy san biê oei lôêm kôbraê kôêp hla chöêng nhaân dônoê duh tôdrong an toan ñoâ sa"
9,"Căn cứ Thông tư số 38/2018/TT-BNNPTNT ngày 25 tháng 12 năm 2018 của Bộ trưởng Bộ Nông nghiệp và Phát triển nông thôn quy định việc thẩm định chứng nhận cơ sở sản xuất, kinh doanh thực phẩm nông lâm thủy sản đủ điều kiện an toàn thực phẩm;","Kaên köê Thoâng tö ksoâÊ peâng jiêt tôhngam sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt tôhngam/TT-BNNPTNT ‘naêr ‘baêl jiêt pôñaêm kheêi minh jiêt ‘baêl sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt tôhngam ñôêng ‘Boâ tröông ‘Boâ Noâng nghieâp oeêng pôjing cham pôlei kuy ñinh tôdrong thaâm ñinh chöêng nhaân dônoê choh jang, teêch bôdro ñoâ sa noâng laâm thuy san duh tôdrong an toan ñoâ sa"
10,"Thực hiện Quyết định số 3408/QĐ-BNN-QLCL ngày 20 tháng 12 năm 2010 của Bộ trưởng Bộ Nông nghiệp và Phát triển nông thôn về việc phân công tổ chức thực hiện nhiệm vụ kiểm tra, giám sát chất lượng vật tư nông nghiệp và an toàn thực pham nông lâm thủy sản thuộc phạm vi quản lý của Bộ Nông nghiệp và Phát triển nông thôn;",Pôm KueâÊt ñinh ksoâÊ peâng puoân khoâng tôhgngam/QÑ-BNN-QLCL ‘naêr ‘baêl jiêt kheêi minh jiêt ‘baêl sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt ñôêng ‘Boâ tröông ‘Boâ Noâng nghieâp oeêng pôjing cham pôlei lôêm tôdrong phaân koâng pôloêk pôm tôdrong ngoê hnheêi tôdrong thu ‘yoêk ñei vaât tö noâng nghieâp oeêng an toan ñoâ sa noâng laâm thuy san oei lôêm kôbraê tôdrong ngoê hnhei ñôêng ‘Boâ Noâng nghieâp oeêng pôjing cham pôlei
11,"Quyết định số 1290/QĐ-BNN-TCCB ngày 17 tháng 4 năm 2015 của Bộ trưởng Bộ Nông nghiệp và Phát triển nông thôn về việc phân công, phân cấp trong hoạt động kiểm tra, giám sát, thanh tra chuyên ngành an toàn thực pham nông lâm thủy sản thuộc phạm vi quản lý của Bộ Nông nghiệp và Phát triển nông thôn.","KueâÊt ñinh ksoâÊ minh ‘baêl tôxiênh khoâng/QÑ-BNN-TCCB ‘naêr minh jiêt tôpôêh kheêi puoân sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt pôñaêm ñôêng ‘Boâ tröông ‘Boâ Noâng nghieâp oeêng pôjing cham pôlei lôêm tôdrong phaân koâng, phaân kôêp lôêm tôdrong ngoê hnheêi, thanh tra chueân nganh an toan ñoâ sa noâng laâm thuy san oei lôêm kôbraê tôdrong ngoê hnheêi ñôêng ‘Boâ Noâng nghieâp oeêng pôjing cham pôlei"
12,Theo đề nghị của Sở Nông nghiệp và Phát triển nông thôn.,‘Boi pôtho khan ñôêng Sô Noâng nghieâp oeêng pôjing cham pôlei
13,Điều 1. Phạm vi điều chỉnh,Ñieâu minh. Tôdrong tôplih
14,"Quyết định này quy định phân công, phân cấp thực hiện nhiệm vụ thanh tra, kiểm tra, giám sát đảm bảo an toàn thực phẩm nông lâm thủy sản; quản lý chất lượng vật tư nông nghiệp và nước sinh hoạt nông thôn thuộc phạm vi quản lý của ngành Nông nghiệp và Phát triển nông thôn trên địa bàn tỉnh Bình Định.","KueâÊt ñinh anu kuy ñinh phaân koâng, phaân kôêp pôm tôdrong ngoê hnheêi tômaên tôl an toan ñoâ sa noâng laâm thuy san; ngoê hnheêi tôdrong thu ‘yoêk ñei vaât tö noâng nghieâp oeêng ñak sinh hoat cham pôlei oei lôêm kôbraê tôdrong ngoê hnheêi ñôêng nganh Noâng nghieâp oeêng pôjing cham pôlei lôêm tôring tinh"
15,Điều 2. Đối tượng áp dụng,Ñieâu ‘baêl. Ñoâi töông tôjuêng pôm
