ID,Tiếng Việt,Tiếng BaNa
1,"Quyết định Về việc ban hành Quy chế hoạt động của Hội đồng xét công nhận nghề truyền thống, làng nghề, làng nghề truyền thống trên địa bàn tỉnh Bình Định","KueâÊt ñinh lôêm tôdrong aên leêch tôdrong pôm ñôêng Hoâi ñoâng xeêt koâng nhaân ngheâ ñôêng sôê, pôlei ngheâ, pôlei ngheâ ñôêng sôê lôêm tôring tinh ‘Binh Ñinh"
2,Chủ tịch Ủy ban nhân dân tỉnh,Chu tich UBND tinh
3,Căn cứ Luật Tổ chức chính quyền địa phương ngày 19/6/2015,Kaên köê Luaât Toâ chöêk khul pôgôl cham pôlei ‘naêr minh jiêt tôxiênh kheêi drôêu sônaêm ‘baêl ôbôêu minh jiêt pôñaêm
4,Căn cứ Nghị định số 66/2006/NĐ-CP ngày 07/7/2006 của Chính phủ về phát triển ngành nghề nông thôn,Kaên köê Nghiê ñinh ksoâÊ drôêu jiêt drôêu sônaêm ‘baêl ôbôêu le drôêu/NÑ-CP ‘naêr tôpôêh kheêi tôpôêh sônaêm ‘baêl ôbôêu le drôêu ñông Kôpal teh ñak lôêm pôjing nganh ngheâ cham pôlei
5,Căn cứ Thông tư số 116/2006/TT-BNN ngày 18/12/2006 của Bộ Nông nghiệp và Phát triển nông thôn ,Kaên köê Thoâng tö ksoâÊ minh minh drôêu sônaêm ‘baêl ôbôêu le drôêu/TT-BNN ‘naêr minh jiêt tôhngam kheêi minh jiêt ‘baêl sônaêm ‘baêl ôbôêu le drôêu ñôêng ‘Boâ noâng nghieâp oeêng pôjing cham pôlei
6,Hướng dẫn thực hiện một số nội dung của Nghị định số 66/2006/NĐ-CP ngày 07/7/2006 của Chính phủ,Höôêng yaân pôm minh ksoâÊ tôdrong ñôêng Nghiê ñinh ksoâÊ drôêu jiêt drôêu sônaêm ‘baêl ôbôêu khoâng hrieâng le drôêu/NÑ-CP ‘naêr tôpôêh kheêi tôpôêh sônaêm ‘baêl ôbôêu khoâng hrieâng le drôêu ñôêng kôpal teh ñak
7,Căn cứ Quyết định số 2778/QĐ-UBND ngày 04/8/2017 của Chủ tịch UBND tỉnh Bình Định ,Kaên köê KueâÊt ñinh ksoâÊ ‘baêl tôpôêh tôpôêh tôhngam/QÑ-UBND ‘naêr puoân kheêi tôhngam sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt tôpôêh ñôêng Chu tich UBND tinh ‘Binh Ñinh
8,"Về việc thành lập Hội đồng xét công nhận nghề truyền thống, làng nghề, làng nghề truyền thống trên địa bàn tỉnh Bình Định","Lôêm tôdrong pôjing anao Hoâi ñoâng xeêt koâng nhaân ngheâ ñôêng sôê, pôlei ngheâ, pôlei ngheâ ñôêng sôê lôêm tôring tinh ‘Binh Ñinh"
9,Xét đề nghị của Sở Nông nghiệp và Phát triển nông thôn tại Tờ trình số 3828/TTr-SNN ngày 18/10/2017,Xeêt pôtho khan ñôêng Sô Noâng nghieâp oeêng pôjing cham pôlei lôêm Tô trinh ksoâÊ peâng tôhngam ‘baêl tôhngam/TTr-SNN ‘naêr minh jiêt tôhngam kheêi minh jiêt sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt tôpôêh
10,"Chánh Văn phòng UBND tỉnh; Giám đốc các Sở: Nông nghiệp và Phát triển nông thôn, Công Thương, Tài nguyên và Môi trường, Kế hoạch và Đầu tư,","Chaênh vaên phong UBND tinh; Giam ñoâc rim Sô: Noâng nghieâp oeêng pôjing cham pôlei, Koâng thöông, Tai nguyeân oeêng Moâi tröông, Keâ hoach oeêng Ñaâu tö,"
11,"Tài chính, Khoa học và Công nghệ, Du lịch, Lao động, Thương binh và Xã hội","Tai chiênh, Khoa hoêk oeêng Koâng ngheâ, Du lich, Lao ñoâng, Thöông ‘binh oeêng Xa hoâi"
12,"Chủ tịch UBND các huyện, thị xã, thành phố các thành viên Hội đồng xét công nhận nghề truyền thống, làng nghề, làng nghề truyền thống trên địa bàn tỉnh Bình Định","Chu tich UBND rim hueân, thi xa, thanh phoâ rim naê ma lôm Hoâi ñoâng xeêt koâng nhaân ngheâ ñôêng sôê, pôlei ngheâ, pôlei ngheâ ñôêng sôê lôêm tôring tinh ‘Binh Ñinh"
13,Thủ trưởng các đơn vị có liên quan chịu trách nhiệm thi hành Quyết định này kể từ ngày ký.,Pôgôl rim ñôn viê ôêi lieân kuan chiu trach nhieâm pôm KueâÊt ñinh anu khan ñôêng ‘naêr kyê
14,"Quy chế Hoạt động của Hội đồng xét công nhận nghề truyền thống,","Tôdrong pôm ñôêng Hoâi ñoâng xeêt koâng nhaân ngheâ ñôêng sôê, pôlei ngheâ, pôlei ngheâ ñôêng sôê lôêm tôring tinh ‘Binh Ñinh"
15,Chương I Những quy định chung,Chöông minh rim quy ñinh adriêng
16,Điều 1. Phạm vi điều chỉnh,Ñieâu minh. Tôdrong tôplih
17,"Quy chế này quy định về nguyên tắc làm việc, chế độ hoạt động của Hội đồng xét công nhận nghề truyền thống, làng nghề","Quy cheâ anu quy ñinh lôêm tôdrong pôm bieâk, tôdrong pôm ñôêng Hoâi ñoâng xeêt koâng nhaân ngheâ ñôêng sôê, pôlei ngheâ"
18,Làng nghề truyền thống trên địa bàn tỉnh Bình Định (sau đây gọi tắt là Hội đồng) và nhiệm vụ của các thành viên Hội đồng.,Pôlei ngheâ ñôêng sôê lôêm tôring tinh ‘Binh Ñinh (ñôêng roêng ôêu krao la Hoâi ñoâng) oeêng tôdrong pôm ñôêng rim naê ma Hoâi ñoâng
19,Điều 2. Đối tượng áp dụng,Ñieâu ‘baêl. Ñoâi töông tôjung pôm
