ID,Tiếng Việt,Tiếng BaNa
1,"Quyết định về việc phê duyệt Đề án thành lập Hội đồng trẻ em tỉnh Bình Định, giai đoạn 2017 - 2020","KueâÊt ñinh lôêm tôdrong pheâ jueâÊt Ñeâ an pôjing anao Hoâi ñoâng ñe hô-yoh tinh ‘Binh Ñinh, jônang ‘baêl ôbôêu khoâng hrieâng minh jiêt tôpôêh – ‘baêl ôbôêu khoâng hrieâng ‘baêl jiêt"
2,Uỷ ban Nhân dân Tỉnh,Uy ‘ban Nhaân daân Tinh
3,Căn cứ Luật Tổ chức chính quyền địa phương năm 2015;,Kaên köê Luaât Toâ chöêk khul pôgôl cham pôlei sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt pôñaêm
4,Căn cứ Quyết định số 1235/QĐ-TTg ngày 03/8/2015 của Thủ tướng Chính phủ,Kaên köê KueâÊt ñinh ksoâÊ minh ‘baêl peâng pôñaêm/QÑ-TTg ‘naêr peâng kheêi tôhngam sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt pôñaêm ñôêng Thu töông kôpal teh ñak
5,Về việc Phê duyệt Chương trình thúc đẩy quyền tham gia của trẻ em vào các vấn đề về trẻ em giai đoạn 2016 - 2020;,Lôêm tôdrong Pheâ jueâÊt tôdrong jôraê kueân adriêng pôm ñôêng ñe hô-yoh tômöt rim tôdrong ñôêng ñe hô-yoh jônang ‘baêl ôbôêu khoâng hrieâng minh jiêt drôêu – ‘baêl ôbôêu khoâng hrieâng ‘baêl jiêt
6,Theo đề nghị của Ban Thường vụ Tỉnh đoàn tại Tờ trình số 330 TTr/TĐTN- CTTN ngày 19/5/2017,‘Boi pôtho khan ñôêng Khul Thöông vu Tinh ñoan lôêm Tô trinh ksoâÊ peâng peâng khoâng/TTr/TÑTN-CTTN ‘naêr minh jiêt tôxiênh kheêi pôñaêm sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt tôpôêh
7,"Điều 1. Phê duyệt kèm theo Quyết định này là Đề án thành lập Hội đồng trẻ em tỉnh Bình Định, giai đoạn 2017 - 2020.","Ñieâu minh. Pheâ jueâÊt pôteêp adriêng KueâÊt ñinh anu la Ñeâ an pôjing anao Hoâi ñoâng ñe hô-yoh ‘Binh Ñinh, jônang ‘baêl ôbôêu khoâng hrieâng minh jiêt tôpôêh – ‘baêl ôbôêu khoâng hrieâng ‘baêl jiêt"
8,"Điều 2. Tỉnh đoàn chủ trì, phối hợp với các cơ quan, đơn vị liên quan và UBND các huyện, thị xã, thành phố","Ñieâu ‘baêl. Tinh ñoan pôgôl, adriêng rim kô kuan, ñôn viê lieân kuan oeêng UBND rim hueân, thi xa, thanh phoâÊ"
9,Tổ chức triển khai thực hiện có hiệu quả các nội dung công việc có liên quan như đã nêu trong Đề án kèm theo Quyết định này.,Pôloêk pônhroh pôm ôêi thu ‘yoêk rim tôdrong pôm ôêi lieân kuan in jôh khan lôêm Ñeâ an pôteêp adriêng KueâÊt ñinh anu
10,Điều 3. Chánh Văn phòng UBND tỉnh;,Ñieâu peâng. Chaênh Vaên phong UBND tinh
11,"Điều 3. Chánh Văn phòng UBND tỉnh; Giám đốc các Sở: Lao động - Thương binh và Xã hội, Giáo dục và Đào tạo, Văn hóa và Thể Thao, Tư pháp, Tài chính;","Giam ñoâk rim Sô: Lao ñoâng – Thöông ‘binh oeêng Xa hoâi, Giaêo ‘yuêk oeêng Ñao tao, Vaên hoa oeêng Theâ thao, Tö phap, Tai chiênh"
