ID,Tiếng Việt,Tiếng BaNa
0001,Áp dụng tiến bộ kỹ thuật trong canh tác cây ăn quả có múi,Tôjung pôm tieâÊn ‘boâ ky thuaât lôêm kanh tac ‘long sa pleêi ôêi achom
0002,"Cây ăn quả có múi là một trong những nhóm cây ăn quả chủ lực, cho giá trị kinh tế cao.","‘Long sa pleêi ôêi achom la minh lôêm rim kôpul ‘long sa pleêi chu löêk, aên giaê tri kinh teâÊ deâh"
0003,"Tuy nhiên thời gian gần cây, ngành sản xuất cây ăn quả có múi của nước ta phải đối mặt với nhiều khó khăn như tình hình sâu bệnh hại phức tạp, giống chất lượng cao chưa nhiều, dinh dưỡng đất bị cạn kiệt","Maêleêi jônang jeâÊ ôêu, nganh choh jang ‘long sa pleêi ôêi achom ñôêng ñak bôên phai tôjröêm maêt adriêng lö hrat tônap in tôdrong jôroâng jiê pôm glaêi phöêk tap, adreâÊch tôdrong thu ‘yoêk ñei deâh ñim lö, yinh yöông teh jôh ñiê"
0004,"Để duy trì và phát triển nền sản xuất cây ăn quả có múi bền vững, cần nhiều giải pháp","Söê pôgeêi pieâu oeêng pôjing tôdrong choh jang ‘long sa pleêi ôêi achom kôjaêp, waê lö tôdrong"
0005,Trong đó việc áp dụng triệt để các biện pháp kỹ thuật vào sản xuất là một trong những giải pháp được các nhà khoa học khuyến cáo nông dân thực hiện.,Lôêm ‘noh tôdrong tôjung pôm pôgloh rim ky thuaât tômöt choh jang la minh lôêm rim tôdrong ñei rim hnam khoa hoêk pôtho khan naê ma pôm
0006,Đất trồng cây ăn quả có múi chu kỳ 2 và 3 cần cải tạo đất trước khi trồng cây ăn quả có múi,Teh pôtaêm ‘long sa pleêi ôêi achom chu ky ‘baêl oeêng peâng  waê kai tao teh adrol jônang pôtaêm ‘long sa pleêi ôêi achom
0007,"Trồng cây họ đậu như đậu tương, cây lạc... từ 2 đến 3 vụ; trồng cây cốt khí, cây điền thanh... sau đó cắt, cày lật úp dùng làm nguồn phân hữu cơ","Pôtaêm ‘long ho ñaâu in ñaâu töông, ‘long ñaâu phung… ñôêng ‘baêl truh peâng vuê; pôtaêm ‘long koât khiÊ, ‘long ñieân thanh… ñôêng roêng ‘noh, kaêi plôê suêp söê pôm nguoân phôêng höu kô"
0008,"Trồng một chu kỳ cây keo, kết hợp bón vôi bột nhằm cải tạo đất trước khi trồng cây ăn quả có múi chu kỳ mới.","Pôtaêm minh chu ky ‘long keo, adriêng ‘boên sra ‘boât söê kai tao teh adrol jônang pôtaêm ‘long sa pleêi ôêi achom chu ky anao"
0009,Kỹ thuật trồng nổi cây ăn quả có múi để tạo điều kiện cho bộ rễ tơ phát triển ngay trên tầng đất canh tác (bộ rễ tơ phát triển ngay trên bề mặt 20 - 30 cm của tầng đất canh tác).,Kô kach pôtaêm noâi ‘long sa pleêi ôêi achom söê pôm tôdrong aên ‘boâ rieâÊh tô pôjing ngay lôêm taâng teh pôm (‘boâ rieâÊh tô pôjing ngay lôm ‘beâ maêt ‘baêl jiêt truh peâng jiêt centimet ñôêng taâng teh pôm)
0010,"Áp dụng chặt đứt rễ cọc của cây ăn quả có múi trong thời kỳ kiến thiết cơ bản (cây 2 - 3 năm tuổi), không cho rễ cọc phát triển quá sâu dễ gặp mạch nước ngầm làm thối rễ cọc.","Tôjung pôm koh kôteêch rieâÊh loih ñôêng ‘long sa pleêi ôêi achom lôêm jônang kieâÊn thieâÊt kô ‘ban (‘long ‘baêl truh peâng sônaêm), biê aên rieâÊh loih pôjing pôgloh jôruê hlaêu tôjröêm trong ñak ngaâm pôm oâm rieâÊh loih"
0011,"Cắt tỉa tạo tán theo dạng hình chữ Y (làm cho cây ăn quả có múi thông thoáng, chiều cao tán để dưới 3 đến 3,5 m","Kaêt tia pôm gôdai ‘boi yang hinh chö Y (pôm aên ‘long sa pleêi ôêi achom thoâng thoang, trong ñuoâÊi gôdai söê ôla peâng truh peâng pheêi pôñaêm met"
0012,"Áp dụng biện pháp vít cành đối với những cây ăn quả có múi trẻ tuổi (2 - 5 tuổi), cắt hạ tán với những vườn cây ăn quả có múi già cỗi (cây trên 10 năm tuổi).","Tôjung pôm tôdrong dui tô‘bra adriêng rim long sa pleêi ôêi achom adruh (‘baêl truh pôñaêm sônaêm), kaêt ha gôdai adriêng rim vöôn ‘long sa pleêi ôêi achom kraê (‘long loi minh jiêt sônaêm)"
0013,"Làm cỏ, bón phân","Pôm nhaêt, ‘boên phôêng"
0014,"Không sử dụng thuốc trừ cỏ trong vườn cây ăn quả có múi, chỉ làm sạch cỏ gốc thường xuyên, khống chế cỏ dại trong vườn cây ăn quả có múi bằng biện pháp cắt cỏ hoặc trồng cây lạc dại, dùng màng phủ nylon chuyên dụng để hạn chế cỏ dại.","Biê chaê yuoâ bôgang ‘bet nhaêt lôêm vöôn ‘long sa pleêi ôêi achom, pôm sach ‘nhaêt tôm deêch, khoâÊng cheâÊ ‘nhaêt lôêm vöôn ‘long sa plei ôêi achom ñôêng tôdrong kaêt nhaêt thoi pôtaêm ‘long ñaâu phung bri, ‘yoêk mang athu nilon chueân yuêng söê pôm tôjul nhaêt"
0015,"Đất trồng cây ăn quả có múi phải được cải tạo thường xuyên, hàng năm bón bổ sung hàm lượng phân hữu cơ vi sinh, vôi bột, lân để cải tạo đất (pH > 5,5) và bộ rễ cây ăn quả có múi.","Teh pôtaêm ‘long sa pleêi ôêi achom phai ñei kai tao deêch, rim sônaêm ‘boên tôguêm ham löông phôêng höu kô vi sinh, sra ‘boât, laân söê kai tao teh (pH groâng loi pôñaêm pheêi pôñaêm) oeêng ‘boâ rieâÊh ‘long sa pleêi ôêi achom"
0016,"Ví dụ: Đối với cây ăn quả có múi 5 đến 10 năm tuổi; Cuốc theo hình tán cây bón phân chuồng hoai mục (50 - 70 kg), lân bột (2 - 3 kg), vôi bột (1 - 1,5 kg), NPK tổng hợp bón lót (1 - 2 kg), phân hữu cơ vi sinh (2 - 3 kg); Trộn đều với đất và lấp lại, hạn chế tưới trong mùa đông.","Viê yuê: Adriêng ‘long sa pleêi ôêi achom pôñaêm truh minh jiêt sônaêm; boêk ‘boi hinh gôdai ‘long ‘boên phôêng chuoâng hoai buk (pôñaêm jiêt truh tôpôêh jiêt kiloâgam), laân ‘boât (‘baêl truh peâng kiloâgam), sra ‘boât (minh truh pôñaêm kiloâgam), NPK toâng hôêp ‘boên lot (minh truh ‘baêl kiloâgam), phôêng höu kô vi sinh (‘baêl truh peâng kiloâgam); jrôêu hôdôi adriêng teh oeêng ‘buê pieâu, tôjul chruh ñak lôêm jan tônghieât"
0017,"Bón bổ sung phân bón tổng hợp NPK bón lót sau khi thu hoạch quả và phân bón tổng hợp NPK bón thúc trong giai đoạn ra hoa, đậu quả và giai đoạn quả lớn","‘Boên tôguêm phôêng ‘boên toâng hôêp NPK ‘boên lot ñôêng roêng jônang thu ‘yoêk pleêi oeêng phôêng ‘boên toâng hôêp NPK ‘boên thuêk lôêm jônang leêch pôkao, ôêi pleêi oeêng jônang pleêi groâng"
0018,"Chú ý sử dụng phân bón tổng hợp NPK ở các thời kỳ sau thu hoạch, ra hoa, đậu quả, quả lớn, quả chín sinh lý","Ngoê hnheêi chaê yuoâ phôêng ‘boên toâng hôêp NPK oei rim jônang ñôêng roêng thu ‘yoêk, leêch pôkao, ôêi pleêi, pleêi groâng, pleêi ñum sinh lyê"
0019,Thường xuyên bón bổ sung phân hữu cơ và phân hữu cơ vinh sinh; Hiện nay một số nhà vườn đã chuyển đổi sử dụng phân hữu cơ và phân hữu cơ vi sinh lên đến 70% so với lượng phân bón hằng năm cho cây ăn quả có múi.,Deêch ‘boên tôguêm phôêng höu kô oeêng phôêng höu kô vi sinh; Ahreêi minh ksoâÊ hnam vöôn jôh tôplih chaê yuoâ phôêng höu kô oeêng phôêng höu kô vi sinh kjung truh tôpôêh jiêt phaân traêm pôting adriêng löông phôêng ‘boên rim sônaêm aên ‘long sa pleêi ôêi achom
0020,"Việc sử dụng phân hữu cơ giúp cải thiện và ổn định kết cấu của đất, làm cho đất tơi xốp, thoáng khí","Tôdrong chaê yuoâ phôêng höu kô tôguêm pôm alöng oeêng kôjaêp keâÊt kôêu ñôêng teh, pôm aên teh lômön, thoang khiê"
0021,"Cung cấp nguồn dinh dưỡng tổng hợp cho đất, làm dinh dưỡng trở thành dạng dễ hấp thu, tăng cường giữ phân cho đất","Tôguêm nguoân yinh yöông toâng hôêp aên teh, pôm yinh yöông oei tôdrong hlaêu haâp thu, kjung jö phôêng aên the"
0022,"Tăng cường hoạt động của vi sinh vật trong đất, tăng cường “sức khỏe” của đất. Đất sẽ gần như trở thành “đất chết” nếu hệ vi sinh vật đất không hoạt động được.","Kjung tôdrong ñôêng vi sinh vaât lôêm teh, kjung “jaêng pran” ñôêng teh. Teh jôh waê in “teh ‘luoâÊch” tôêng heâ vi sinh vaât teh biê hoat ñoâng ñei"
0023,Đất trồng cây ăn quả có múi phải được cải tạo thường xuyên,Teh pôtaêm ‘long sa pleêi ôêi achom phai ñei kai tao deêch
0024,Tưới nước và tiêu nước: Ứng dụng công nghệ tưới tiết kiệm để quản lý độ ẩm,Chruh ñak oeêng tieâu ñak: Tôjung pôm koâng ngheâ chruh amaên söê ngoê hnheêi tôdrong lôngôp
0025,"Điều độ nước trong vườn cây ăn quả có múi cần hợp lý, nhất là vào thời kỳ ra hoa đậu quả cần phải giữ đủ ẩm khi vườn khô và thoát nước kịp thời khi trong vườn đọng nước","Ñieâu ñoâ ñak lôêm vöôn ‘long sa pleêi ôêi achom waê trô troê, pôgloh la tômöt jônang leêch pôkao ôêi plei waê phai jö duh lôngôp jônang vöôn srieâng oeêng thoat ñak tôtam lôêm jônang vöôn töng ñak"
0026,"Chú ý tưới nước trong thời kỳ phân hóa mầm hoa, ra hoa và đậu quả non...; tiêu thoát nước trong giai đoạn mùa mưa","Ngoê hnheêi chruh ñak lôêm jônang phaân hoa boâp pôkao, leêch pôkao oeêng ôêi pleêi ‘lôp…; tieâu thoat ñak lôêm jônang jan ami"
0027,Phòng trừ sâu bênh hại và phun phân bón lá cho cây ăn quả có múi ở từng thời kỳ,Phong dôt jôroâng jiê pôm glaêi oeêng phun phôêng ‘boên hla aên ‘long sa pleêi ôêi achom oei rim jônang
0028,"Chỉ sử dụng thuốc bảo vệ thực vật khi đối tượng sâu bệnh hại xuất hiện và đến ngưỡng cần phải phòng trừ (chú trọng đến các thời kỳ: sau thu hoạch, ra hoa, đậu quả, quả lớn...). ","Anao chaê yuoâ bôgang jö vei ‘long pôtaêm jônang ñoâÊi töông jôroâng jiê pôm glaêi ‘boh leêch oeêng truh tôdrong waê phai phong dôt (ngoê hnheêi truh rim jônang: ñôêng roêng thu ‘yoêk, leêch pôkao, ôêi pleêi, pleêi groâng…)"
