ID,Tiếng Việt,Tiếng BaNa
0001,Quy trình kỹ thuật trồng cây nho tảo hồng và cây nho cự phong phù hợp với điều kiện tự nhiên của tỉnh Cao Bằng,Kuy trinh kô kach pôtaêm ‘long nho tao hoâng oeêng ‘long nho kö phong trô troê adriêng tôdrong kôdrieâng ñôêng tinh Cao ‘Baêng
0002,"Đặc điểm thực vật học nho Tảo Hồng và nho Cự Phong: Cây sinh trưởng nhanh, thời gian từ trồng đến lên giàn khoảng 90 - 100 ngày, độ dài lên giàn là 70 - 80 cm.","Tôdrong thöêk vaât hoêk nho tao Hoâng oeêng nho Kö Phong: ‘Long pôjing ranh, jônang ñôêng pôtaêm truh hao pra khoang tôxiênh jiêt truh minh hrieâng ‘naêr, trong ñuoâÊi hao pra la tôpôêh jiêt truh tôhngam jiêt centimet"
0003,"Trọng lượng trung bình chùm quả 351g – 415g, chùm quả Nho Cự Phong hình nón cụt nho Tảo Hồng hình nón dài.","Trong löông tiênh jônuêm chum pleêi peâng hrieâng pôñaêm jiêt minh gam truh puoân hrieâng minh jiêt pôñaêm gam, chum pleêi nho Kö Phong hinh noên kut nho Tao Hoâng hinh noên ñuoâÊi"
0004,"Quả hình ô van, dễ rời cuống. Vỏ quả dày, màu tím đen, dễ tách ra khỏi thịt quả. ","Pleêi hinh oâ van, hlaêu leâch hluoâi atoêng, kôñoh pleêi hô‘bôl, môu tim gaêm, hlaêu ‘yoêk leêch khoi aseêch pleêi"
0005,"Thịt quả mềm, nhiều nước có mùi hương đặc trưng, độ đường đạt 17,6 Brix.","Aseêch pleêi lômön, lö ñak, ôêi môu phu ñaêk tröng, ñoâ ñöông ñat minh jiêt tôpôêh pheêi drôêu Brix"
0006,"Chọn đất, làm đất: Yêu cầu đất phải có nhiều mùn, có độ PH 5,5 - 7,0 chủ động tưới tiêu nước","Chaê teh, pôm teh: Yeâu kôu teh phai ôêi lö buk, ôêi ñoâ PH pôñaêm pheêi pôñaêm truh tôpôh pheêi khoâng chu ñoâng chruh ñak"
0007,"Cày bừa làm nhỏ đất, lên luống rộng 2,5m và đào hố 50 x 50 x 50 cm","Kaêi ‘böa pôm ken teh, pôm luoâÊng saê ‘baêl pheêi pôñaêm met oeêng sil troâm pôñaêm jiêt nhông pôñaêm jiêt nhôêng pôñaêm jiêt centimet"
0008,Bón lót phân chuồng hoai mục + lân trước khi trồng; Ủ phân trong hố từ 15 đến 30 ngày.,‘Boên lot phôêng chuoâng hoai buk koâng laân adrol jônang pôtaêm; U phôêng lôêm troâm ñôêng minh jiêt pôñaêm truh peâng jiêt ‘naêr
0009,"Trồng cây: Thời vụ trồng phù hợp với khí hậu tại Cao Bằng là trồng vào vụ Xuân – Hè; Khoảng cách trồng: Cây cách cây 1,0m; hàng cách hàng 2,5m",Pôtaêm ‘long: Jônang pôtaêm trô troê adriêng pleênh dônoê Cao ‘Baêng la pôtaêm tômöt vuê Xuaân – He; khoang kach pôtaêm: ‘long kach ‘long minh pheêi khoâng met; hang kach hang ‘baêl pheêi pôñaêm met
0010,"Mật độ trồng: 4.000 cây/h; Đào 1 lỗ chính giữa hố, cho cây giống nho xuống sau đó lấp đất lại, tránh cho rễ cây tiếp xúc trực tiếp với phân. ","Maât ñoâ pôtaêm: Puoân ôbôêu ‘long lôêm minh hecta; sil minh troâm tôêk pôêk chôhlung, aên ‘long adreâÊch nho jul ñôêng roêng ‘noh ‘buê teh, hli aên rieâÊh ‘long tieâp xuêk tröêk tieâp adriêng phôêng"
0011,"Yêu cầu cây trồng phải thẳng hàng, rễ cây không bị gấp khúc.","Kô waê ‘long pôtaêm phai tôpaêt trong, rieâÊh ‘long biê ‘bi tôjaêt khuêk"
0012,"Tưới nước: Sau khi trồng cần tưới đẫm nước, trời nắng 5 - 7 ngày tưới một lần. Thường xuyên giữ ẩm cho cây, chú ý không được để đất khô.","Chruh ñak: Ñôêng roêng pôtaêm waê chruh lö ñak, pleênh toê pôñaêm truh tôpôh ‘naêr chruh minh maêng. Deêch jö lôngôp aên ‘long, ngoê hnheêi biê ñei söê teh srieâng"
0013,"Sau đó tưới thưa dần tùy vào độ ẩm của luống cây. Ngừng tưới nước trước khi thu hoạch 7 - 10 ngày để làm tăng chất lượng cho nho, làm cho quả không bị mềm sau khi thu hoạch.","Ñôêng roêng ‘noh chruh ‘biêa yaân tuy tômöt ñoâ lôngôp ñôêng luoâÊng ‘long. Thoâi chruh ñak jônang thu ‘yoêk ñôêng tôpôh truh minh jiêt ‘naêr söê pôm kjung tôdrong thu ‘yoêk ñei aên nho, pôm aên pleêi biê ‘bi lômön ñôêng roêng thu ‘yoêk"
