ID,Tiếng Việt,Tiếng BaNa
0001,Kỹ thuật trồng và chăm sóc cây ngô vụ đông áp dụng làm đất tối thiểu,Kô kach pôtaêm oeêng tôme rong ‘long hôbo vuê Ñoâng tôjung pôm pôm teh toâÊi thieâu
0002,Cây ngô thường được sản xuất trên đất 2 vụ lúa và là một trong những cây trồng chính ở vụ đông trên địa bàn tỉnh.,‘Long hôbo deêch ñei choh jang lôêm teh ‘baêl vuê ‘ba oeêng la minh lôêm rim ‘long pôtaêm chiênh oei vuê ñoâng lôêm tôring tinh
0003,"Ngô khá dễ trồng và chăm sóc nhưng để cho năng suất cao, chất lượng tốt bà con nông dân cần chú ý","Hôbo khaê hlaêu pôtaêm oeêng tôme rong maêleêi söê aên thu ‘yoêk deâh, tôdrong thu ‘yoêk ñei hôgeêi kôtuêm kôtong waê ngoê hnheêi"
0004,Thời vụ: Gieo trồng trong tháng 9 để tránh gặp rét khi trỗ cờ phun râu vì vậy cây ngô vụ đông trồng càng sớm càng tốt.,Thôi vuê: Jul adreâÊch lôêm kheêi tôxiênh söê hli tôjröêm tônghieât jônang leêch kô leêch soêk yua ‘noh ‘long hôbo vuê ñoâng pôtaêm kang sruoâÊih kang hôgeêi
0005,"Để tranh thủ thời vụ tốt nhất bà con nên chuẩn bị cây con trồng trong bầu, khi cây đạt tiêu chuẩn thì đem ra ruộng trồng, vừa giải quyết khâu thời vụ, đồng thời đảm bảo tỉ lệ sống cao","Söê tranh thu thôi vuê hôgeêi pôgloh kôtuêm kôtong waê chuaân ‘bi ‘long kon pôtaêm lôêm ‘bôu, jônang ‘long ñat tôdrong thi cheêp leêch tômaên pôtaêm, anao tôguêm tôdrong thôi vuê thoi le tômaên tôl ty leâ yaêl arih deâh"
0006,"ngoài ra còn điều chỉnh được mật độ trồng, điều chỉnh hướng lá để cây ngô phát triển thuận lợi, cho năng suất cao trong vụ đông.","Minh kôpah araê tôplih ñei maât ñoâ pôtaêm, tôplih höôêng hla söê ‘long hôbo pôjing alöng, aên thu ‘yoêk deâh lôêm vuê ñoâng"
0007,"Chuẩn bị giống: Trong vụ đông, sử dụng các giống ngô có ngắn ngày, năng suất cao, có khả năng chịu mật độ, thâm canh, chịu hạn và lạnh như: NK4300, CP333, LVN885, Nk4300Bt/GT...; nhóm ngô nếp: MX4, MX10, HN88.","Chuaân ‘bi adreâÊch: Lôêm vuê ñoâng, chaê yuoâ rim adreâÊch hôbo ôêi kôñeh ‘naêr, thu ‘yoêk deâh, ôêi tôdrong chiu maât ñoâ, thaâm kanh, chiu toê oeêng tônghieât in: NK puoân peâng khoâng khoâng; CP peâng peâng peâng; LVN tôhngam tôhngam pôñaêm; Nk puoân peâng khoâng khoâng Bt/GT…; kôpul hôbo neâp: MX puoân; MX minh jiêt; HN tôhngam tôhngam"
0008,"Lượng giống khoảng 20 - 25 kg/ha, tùy từng loại giống.","Löông adreâÊch khoang ‘baêl jiêt truh ‘baêl jiêt pôñaêm kiloâgam minh hecta, tuy rim loai adreâÊch"
0009,"Xử lý hạt giống trước khi trồng đối với ngô bầu: Ngâm hạt giống trong nước sạch 8-10 tiếng sau đó đem ủ, có thể ủ cùng cát hoặc trấu, tốt nhất nên dùng cát ẩm để ủ.","Xö lyê geêr adreâÊch adrol jônang pôtaêm adriêng hôbo ‘bôu: Tong geêr adreâÊch lôêm ñak sach ñôêng tôhngam truh minh jiêt jô ñôêng roêng ‘noh cheêp u, ôêi tôdrong u adriêng chuêah thoi hnuh ‘ba, hôgeêi pôgloh la chaê yuoâ teh söê u"
0010,"Sau 20-24 tiếng là hạt nảy mầm, lưu ý cần kiểm tra giá thể, nếu ẩm quá có thể làm thối hạt giống.","Ñôêng roêng ‘baêl jiêt truh ‘baêl jiêt puoân jô la geêr lech boâp, pôgloh waê ngoê hnheêi giaê theâ, tôêng lôngôp pôloh ôêi tôdrong pôm hö geêr adreâÊch"
0011,"Chỉ nên ủ hạt nứt nanh là tiến hành đem gieo, vì nếu để rễ mầm quá dài khi thao tác rất dễ gẫy, mà rễ mầm có vai trò hết sức quan trọng đối với năng suất của cây ngô.","Chi waê u geêr lech nanh la cheêp naêm pôtaêm, yua tôêng söê rieâÊh boâp pôgloh ñuoâÊi jônang pôm pôgloh tôköê, maê rieâÊh boâp ôêi tôdrong pôgloh adriêng thu ‘yoêk ñôêng ‘long hôbo"
0012,Kỹ thuật làm đất,Kô kach pôm the
0013,"Đối với gieo hạt trực tiếp: Sau khi thu hoạch lúa, cày lật đất để tạo luống rộng khoảng 1,2 m, rãnh rộng 30-40 cm, sâu 20-25 cm.","Adriêng jul adreâÊch trök tieâÊp: Ñôêng roêng thu ‘yoêk ‘ba, kaêi laât teh söê pôm luoâÊng saê khoang minh pheêi ‘baêl met, ranh saê peâng jiêt truh puoân jiêt centimet, jôruê ‘baêl jiêt truh ‘baêl jiêt pôñaêm centimet"
0014,"Dùng cuốc rạch hàng ngang trên mặt luống sâu 2-3 cm, hàng cách hàng 30 cm.","‘Yok kuoâk rach hang ngang lôêm maêt luoâÊng jôruê ‘baêl truh peâng centimet, hang kach hang peâng jiêt centimet"
0015,"Đối với trồng bằng bầu ươm: Nếu bề mặt ruộng còn bằng phẳng, không bị phá kết cấu, tưới tiêu chủ động, cắt sát gốc rạ, phủ rạ lên bề mặt ruộng.","Adriêng pôtaêm ñôêng ‘bôu öôm: Tôêng trong maêt bal araê tômaên, biê ‘bi phaê keâÊt kôêu, chruh ñak chu ñoâng, kaêt jeâÊ tôm hôhnong, athu chôhnong kôpöng maêt bal"
0016,"Không cần tạo các rãnh thoát nước, sử dụng hệ thống tiêu thoát nước như sản xuất lúa.","Biê waê pôm rim trong thoat ñak, chaê yuoâ heâ thoâÊng tieâu thoat ñak in choh jang ‘ba"
