ID,Tiếng Việt,Tiếng BaNa
0001,"Phạm vi điều chỉnh: Quy trình này quy định các yêu cầu kỹ thuật về trồng, chăm sóc, phòng trừ sâu bệnh hại, thu hoạch sơ chế và bảo quản cây điều ghép sản xuất tại Lâm Đồng.","Pham vi tôplih: Kuy trinh anu kuy ñinh rim tôdrong ky thuaât lôêm pôtaêm, tôme rong, phong dôêt jôroâng jiê pôm glaêi, thu ‘yoêk sô cheâÊ oeêng jö vei ‘long ñieâu gheêp choh jang dônoê Laâm Ñoâng"
0002,"Đối tượng áp dụng: Quy trình này áp dụng đối với các tổ chức, cá nhân hoạt động liên quan đến sản xuất cây điều ghép trên địa bàn Lâm Đồng.","ÑoÊâi töông ap jung: Kuy trinh anu tôjung pôm adriêng rim toâ chöêk, kôdih ôkôêu pôm lieân kuan truh choh jang ‘long ñieâu gheêp lôêm tôring Laâm Ñoâng"
0003,"Mục tiêu kinh tế kỹ thuật: Thời gian kiến thiết cơ bản của cây điều ghép 3 năm. Năng suất bình quân trong giai đoạn kinh doanh: 1,5-2 tấn/ha",Muêk tieâu kinh teâÊ ky thuaât: Jônang kieâÊn thieâÊt kô ‘ban ñôêng ‘long ñieâu gheêp peâng sônaêm. Thu ‘yoêk tiênh jônuêm lôêm jônang teêch bôdro: minh pheêi pôñaêm truh ‘baêl tôêng lôêm minh hecta
0004,"Đặc điểm: Cây điều tên khoa học Anacardium occidentale, nguồn gốc ở Đông bắc Brazil, được trồng phổ biến ở các nước vùng nhiệt đới với mục đích lấy hạt.","Ñaêk ñieâm: ‘Long ñieâu maêt khoa hoêk Anacardium occidentale, nguoân tôm oei Ñoâng ‘baêk Brazil, ñei pôtaêm phoâ ‘bieâÊn oei rim ñak apung nhieât ñôêi adriêng tôdrong ‘yoêk geêr"
0005,"Cây điều được trồng ở Việt Nam từ thế kỷ 18, nhưng trong một thời gian dài không được xem là cây nông nghiệp, chỉ trồng lẻ tẻ với mục đích chắn gió và là cây lâm nghiệp để phủ xanh đất trống đồi trọc do đặc tính chịu hạn, thích nghi với đất xấu.","‘Long ñieâu ñeêi pôtaêm oei Vieât Nam ñôêng theâÊ ky minh jiêt tôhngam, maêleêi lôêm minh jônang ñunh biê ñeêi ngoê la ‘long noâng ngieâp, anao pôtaêm ‘biêa adriêng tôdrong gôên kyal oeêng pôm ‘long laâm nghieâp söê athu kseê teh soh biê ôêi ‘long yua tôdrong chiu toê, thiêch nghi adriêng teh bröê"
0006,"Cây điều chịu được những điều kiện khí hậu đa dạng và khắc nghiệt. Khí hậu nhiệt đới với lượng mưa hàng năm đầy đủ và có một mùa khô rõ rệt là những điều kiện tối thích để cây điều phát triển tốt. Độ cao nơi trồng điều so với mặt biển càng lớn thì cây sinh trưởng càng chậm, năng suất càng giảm.","‘Long ñieâu chiu ñeêi rim tôdrong pleênh ña yang oeêng khaêk nghieât. Pleênh nhieât ñôêi adriêng löông ami rim sônaêm duh oeêng ôêi minh mua khoâ ro reât la rim tôdrong pôgloh söê ‘long ñieâu pôjing hôgeêi. Ñoâ ñuoâÊi dônoê pôtaêm ñieâu pôting adriêng maêt ñak tôsiê kang groâng thoi ‘long yaêl arih kang ñunh, thu ‘yoêk kang tôjul"
0007,Yêu cầu về điều kiện ngoại cảnh,Yeâu kôêu lôêm tôdrong ngoai kanh
0008,"Nhiệt độ: Điều là loại cây có nguồn gốc từ vùng nhiệt đới, vì vậy điều rất mẫn cảm với nhiệt độ thấp và sương giá. Điều có khả năng sinh trưởng trong phạm vi giới hạn nhiệt độ khá rộng nhưng chỉ sinh trưởng, phát triển tốt trong điều kiện nhiệt độ từ 24-280C. Tuy nhiên muốn có năng suất cao, thì không nên chọn những vùng có nhiệt độ trung bình hàng năm dưới 200C.","Nhieât ñoâ: Ñieâu la loai ‘long ôêi nguoân tôm ñôêng apung nhieât ñôêi, yua ‘noh ñieâu pôgloh maân kam adriêng nhieât ñoâ kôñeh oeêng söông giaê. Ñieâu ôêi tôdrong yaêl arih lôêm pham vi giôêi han nhieât ñoâ khaê saê maêleêi anao yaêl arih, pôjing hôgeêi lôêm tôdrong nhieât ñoâ ñôêng ‘baêl jiêt puoân truh ‘baêl jiêt tôhngam ñoâ C. Maêleêi waê ôêi thu ‘yoêk lö thoi biê ‘yoêk rim apung ôêi nhieât ñoâ trung ‘binh rim sônaêm ôla ‘baêl jiêt ñoâ C"
0009,"Ánh sáng: Điều là cây ưa sáng hoàn toàn và ra quả ở đầu cành nên các cây trồng đơn độc hoặc trồng với mật độ thích hợp, bảo đảm chế độ ánh sáng đầy đủ cây cho năng suất khá cao. Trong thời gian cây ra hoa càng đòi hỏi nhiều ánh sáng. Trung bình cây điều cần khoảng 2.000 giờ nắng/năm. ","Ñoâ hrang: Ñieâu la ‘long waê hrang ñiê oeêng leêch pleêi oei kôl tô‘bra kôna rim ‘long pôtaêm ñôn ñoâk thoi pôtaêm adriêng maât ñoâ thiêch hôêp, tômaên tôl tôdrong ñoâ hrang duh aên thu ‘yoêk khaê deâh. Lôêm jônang ‘long leêch pôkao kang kô waê lö  hrang. Tiênh jônuêm ‘long ñieâu waê khoang ‘baêl ôbôêu jô toê lôêm minh sônaêm"
0010,"Ở miền núi, đặc biệt là ở những thung lũng có núi non che khuất thường xuất hiện sương mù buổi sáng và buổi chiều làm giảm cường độ ánh sáng, cây điều ở đó có thể vẫn sinh trưởng bình thường nhưng ra hoa đậu quả rất kém, sản lượng không đáng kể.","Oei apung koâng, pôgloh la oei rim thung lung ôêi koâng bri athu deêch ‘boh ñak lôngoêm bôgheâ oeêng ksôê pôm tôjul köông ñoâ hrang, ‘long ñieâu oei ‘noh ôêi tôdrong araê yaêl arih ‘binh thöông maêleêi leêch pôkao ôêi pleêi pôgloh kheê, san löông biê doâm nhö"
