ID,Tiếng Việt,Tiếng BaNa
0001,Quy trình kỹ thuật trồng và chăm sóc cây giảo cổ lam,Kuy trinh kô kach pôtaêm oeêng tôme rong ‘long jao koâ lam
0002,Quy trình thực hiện,Kuy trinh pôm
0003,Chọn giống để ươm trồng,Chaê adreâÊch söê öôm pôtaêm
0004,"Chọn hom bánh tẻ ở những vườn cây gốc (đúng giống, đúng loài) có thời gian sinh trưởng từ 3 đến 5 tháng tuổi. ","Chaê  hom ‘beêng te oei rim vöôn ‘long tôm (troê adreâÊch, troê loai) ôêi jônang yaêl arih ñôêng peâng truh pôñaêm kheêi "
0005,"Hom giống phải sạch sâu bệnh và có từ 3 đến 4 đốt (mắt), có 3 – 4 lá, dài khoảng 20 – 30cm.","Hom adreâÊch phai sach jôroâng jiê oeêng ôêi ñôêng peâng truh puoân apaêng, ôêi peâng truh puoân hla, ñuoâÊi khoang ‘baêl jiêt truh peâng jiêt centimet"
0006,"Hom cắt không bị dập nát, sây sát. Vết cắt hai đầu hom giâm cách mắt 4 - 5 cm.","Hom kaêt ‘bi jaâp, kôlot. Dônoê kaêt ‘baêl pah kôl hom pôtaêm kach apaêng puoân truh pôñaêm centimet"
0007,Chọn đất ươm trồng,Chaê teh öôm pôtaêm
0008,Đất dùng để ươm trồng cây Giảo cổ lam phải đảm bảo các điều kiện sau,Teh söê öôm pôtaêm ‘long jao koâ lam phai tômaên tôl rim tôdrong ñôêng roêng ôêu
0009,Chọn đất cát pha hoặc thịt nhẹ.,Chaê teh chuêah pha thoi aseêch ‘biêa
0010,"Đất không bị ô nhiễm môi trường, không chứa các chất tồn dư độc hại, kim loại nặng hoặc gần nguồn nước thải khu công nghiệp, bệnh viện","Teh biê ‘bi oâ nhieâm moâi tröông, biê ôêi rim ñoâ araê ñoâk hai, kim loai deâh thoi jeâÊ nguoân ñak thai apung koâng nghiep, ‘beânh vieân"
0011,"Đất phải sạch sâu bệnh, cở dại, tàn dư cây trồng cũ, tơi xốp, giữ ẩm và thoát nước tốt, chủ động tưới tiêu và bảo vệ cây giống.","Teh phai sach jôroâng jiê, nhaêt, biê araê ‘long pôtaêm ñunh, lômön, jö lôngôp oeêng thoat ñak hôgeêi, chu ñoâng chruh ñak oeêng jö vei ‘long adreâch"
0012,Thời vụ ươm trồng giảo cổ lam cho tỷ lệ sống cao nhất là từ tháng 2 đến tháng 4 hàng năm. ,Jônang öôm pôtaêm jao koâ lam aên ty leâ yaêl arih deâh pôgloh la ñôêng kheêi ‘baêl truh kheêi puoân rim sônaêm
0013,"Thời gian này thường có mưa xuân, độ ẩm cao, đảm bảo tỷ lệ hom sống, đồng thời giảm công tưới trên diện tích lớn. ","Jônang anu deêch ôêi ami xuaân, ñoâ lôngôp lö, tômaên tôl ty leâ hom yaêl arih, thoi ‘noh tôjul koâng chruh ñak lôêm chñeh teh groâng"
0014,Nếu nhân giống đúng thời vụ có thể đạt tỷ lệ sống là 91% và thời gian ra rễ/mầm là 11 ngày.,Tôêng nhaân adreâÊch troê jônang ôêi tôdrong ñat ty leâ yaêl arih la tôxiênh jiêt minh phaân traêm oeêng jônang leêch rieâÊh/ boâp la minh jiêt minh ‘naêr
0015,Kỹ thuật ươm trồng,Kô kach öôm pôtaêm
0016,"Đất được cày ải sớm, để ải 20 – 30 ngày sau đó đập nhỏ, nhặt sạch cỏ dại, tạp chất. ","Teh ñei kaêi ai sruoâÊih, söê ai ‘baêl jiêt truh peâng jiêt ‘naêr ñôêng roêng ‘noh srah ken, ‘yoêk ñiê nhaêt, tap chaâÊt"
0017,"Lên luống cao 25 – 30 cm, rộng 1 – 1,2 m, có rãnh luống để thuận tiện đi lại chăm sóc, đào bứng cây con và thoát nước tốt.","Pôm luoâÊng ñuoâÊi ‘baêl jiêt pôñaêm truh peâng jiêt centimet, saê minh truh minh pheêi ‘baêl met, ôêi chônok luoâÊng söê alöng naêm tôme rong, sil grôê ‘long kon oeêng thoat ñak hôgeêi"
0018,"Sau khi cắt xong hom giâm, tiến hành rạch hàng rộng 10 cm theo chiều ngang luống. Đặt hom giâm sát nhau (tương ứng mật độ 500 – 1000 hom/m2). Rạch hàng thứ 2 lấp đất cho hàng 1. Lấp đất kín 2 đốt của hom giâm.","Ñôêng roêng kaêt keh hom giaâm, pôm rach hang saê minh jiêt centimet ‘boi trong ngang luoâÊng. Söê hom giaâm jeÊâ adriêng (töông öêng maât ñoâ pôñaêm hrieâng truh minh ôbôêu hom lôêm minh met vuoâng). Rach hang maê ‘baêl ‘buê teh aên hang minh. ‘Buê teh sil ‘baêl apaêng ñôêng hom giaâm"
0019,"Khi giâm xong, dùng bình ô doa tưới nước đều mặt luống. Lượng nước tưới chỉ vừa đủ cho đất ẩm trong suốt quá trình ươm cây.","Jônang giaâm keh, ‘yoêk ‘binh oâ yoa chruh ñak hôdôêi maêt luoâÊng. Löông ñak chruh anao böa duh aên teh lôngôp lôêm ñi jônang öôm ‘long"
0020,Kỹ thuật chăm cây non,Kô kach tôme rong ‘long kon
0021,"Sau khi giâm xong, dùng bình ô doa tưới nước đều mặt luống. Lượng nước tưới cho đất ẩm (ngày 2 lần sáng sớm và chiều mát), làm giàn mái che để tránh ánh nắng trực tiếp và mưa to làm cây bị thối.","Ñôêng roêng giaâm keh, ‘yoêk ‘binh oâ yoa chruh ñak hôdôêi maêt luoâÊng. Löông ñak chruh aên teh lôngôp (‘naêr ‘baêl maêng bôgheâ sruoâÊih oeêng ksôê mat), pôm pra athu söê hli toê tröêk tieâp oeêng ami groâng pôm ‘long ‘bi oâm"
0022,"Dùng Pisomix – Y15 (ra rễ cực mạnh), hòa loãng 10g cho 1 bình ô doa 10 lít tưới đều cho 5 – 7m vườn ươm và cứ 5 ngày tưới lại 1 lần, tưới từ 3 – 4 lần.","Chaê yuoâ Pisomix – Y minh jiêt pôñaêm (leêch rieâÊh pôgloh ranh), jôdrôêu loang minh jiêt gam aên minh ‘binh oâ yoa minh jiêt lit chruh hôdôêi aên pôñaêm truh tôpôêh met vöôn öôm oeêng köê pôñaêm ‘naêr chruh minh maêng, chruh ñôêng peâng truh puoân tuoân"
