ID,Tiếng Việt,Tiếng BaNa
0001,Kỹ thuật gây trồng mộc nhĩ, Chă tơdrong pơtăm mơmơ̆u
0002,"Mộc nhĩ thường được gọi là mộc nhĩ, nấm mèo; có tên khoa học: Auricularia polytricha; thuộc họ: Mộc nhĩ Auriculariaceae.","mơmơ̆u hanh dĕi krao la mơmơ̆u, mơ̆u dinh dơl; ơ̆i 'măt khoa hoc:Auricularia polytricha; adrinh mơmơ̆u Auriculariaceae."
0003,"Mộc nhĩ dùng làm thức ăn rất thông dụng, ăn ngon và giàu dinh dưỡng. Mộc nhĩ được trồng phổ biến ở nhiều nơi do dễ tiêu thụ và có hiệu quả kinh tế cao.","Mơmơ̆u hanh sư̆ pơm đô sa, buơ̆ sa nham weng buơ̆ pơm ăn ơkơ̆u bơ̆n grăng khoe  Mơmơ̆u  pơ tăm đĕi lư dơnŏ yuô tĕch đĕi weng chĕp ăn kơ bơ̆n đĕi jên."
0004,"Năng suất mộc nhĩ tươi đạt 50 - 60% so với khối lượng mùn cưa khô, 6,5 - 7 kg mộc nhĩ tươi đạt 1 kg khô.","mơmơ̆u 'nao hlĕh 'trăp đĕi đăm jĭt truh dơdrơ̆u jĭt phân hriêng pơdŏ  adring 'nhă sriêng, dơdrơ̆u 'phay pơđăm truh tơpơh kĭ mơmơ̆u arĭh đĕi mĭnh kĭ mơmơ̆u sriêng."
0005,"Trong tự nhiên, bào tử mộc nhĩ bay lơ lửng trong không khí, gặp điều kiện thuận lợi sẽ nảy mầm thành sợi, ăn sâu vào thớ gỗ, sau đó mộc nhĩ sẽ mọc ở phía ngoài thân gỗ. ","Lơ̆m 'bri kông, ơdrĕch mơmơ̆u păl mơhiưch mơhiach lơ̆m teh plĕnh,trŏ 'măng 'năr thê̆   chơ đah jing tơm mơmơ̆u, mư̆t druh  lơ̆m kơlŭt 'long , đơ̆ng rŏng ĕi hon gih agah 'long"
0006,Yêu cầu các yếu tố môi trường ở từng giai đoạn phát triển của mộc nhĩ rất khác nhau.,Lơ̆m jơnang mơmơ̆u atŭng tơ'yung wă kơbơ̆n pơme lư tơdrong ăn mơmơ̆u ranh tĭ grông.
0007,Kỹ thuật gây trồng,Chă tơdrong pơtăm
0008,Thời gian trồng mộc nhĩ tốt nhất là từ tháng 8 đến tháng 9 dương lịch,Jơnang pơtăm mơmơ̆u 'lưng loi la đơ̆ng khĕi tơhngam truh khĕi tơsĭn dương lich
0009,"Nguyên liệu gây trồng mộc nhĩ gồm: Mùn cưa các loài gỗ mềm không có tinh dầu, không bị lẫn xăng dầu, không bị mốc; cám gạo, bột ngô nghiền mịn."," đô sư̆ pơtăm mơmơ̆u ơ̆i: 'nhă 'long lơmưn bĭ ơ̆i dơ̆u, bĭ ơ̆i bơluh xăng dơ̆u, bĭ ơ̆i phok, đơ̆k phe, đơ̆k hơpo pĕh hach."
0010,"Nhà trồng mộc nhĩ làm bằng vật liệu tre nứa, rơm rạ, đơn giản, sạch sẽ, tránh được mưa, nắng, gió lớn và thoát nước.","Hnam pơtăm mơmơ̆u pơm dĭ 'treng, hơnong 'ba, 'bunh 'bŏk, uôl iêl, pơdôh đĕi 'mi, tŏ, kial grông weng ruôh đĕi đak."
0011,"Ủ mùn cưa: Trộn mùn cưa với nước vôi loãng cho ẩm đều rồi vun thành đống trên giá gỗ, dưới lót cót hay phên tre, trên đống ủ có mái che mưa.","pung 'nhă 'long: jrơ̆u 'nhă 'long adring đak chul lơhông ăn lơngơp rim đĭ 'nao khŭl ăn hơ ơpôm kơpưng pra 'long , gah ala lư̆k kơđŏh oen kơchĭa kram, gih kơpưng ơ̆i pơnuôl athu jŭ 'mi."
0012,"Lượng mùn ủ ít nhất là 500 kg, lấy cót hoặc nilon quây xung quanh, cứ 15 ngày đảo đều và ủ lại một lần, sau 30 ngày ủ có thể đưa vào đóng túi. Thời gian ủ không kéo dài quá 1 năm.","nhă 'long sư̆ pung bĭa đĕch la pơđăm hriêng kĭ, 'yok kơđŏh  weng hla mơlung athu tăp dal, truh minh jĭt đăm 'năr wơl rim weng athu minh 'măng piêu,đơ̆ng rong pêng jĭt 'năr pung 'nhă 'long bơ̆n 'nao jing 'biêt lơ̆m ơtŭm mơlung. 'măng 'năr pung 'nhă 'long  bĭ ăn sư̆ đunh gloh minh sơ'năm."
0013,Trộn giá thể: Trộn đều 10 kg cám gạo và 15 kg bột ngô nghiền mịn với 500 kg mùn cưa ẩm tạo thành giá thể trồng mộc nhĩ,drơ̆u dơnŏ sư̆ pơtăm : drơ̆u rim minh jĭt kĭ đơ̆k phe weng minh jĭt pơđăm kĭ đơ̆k hơpo pĕh hach adring đăm hriêng 'nhă 'long lơngơp 'nao jing  pơtăm mơmơ̆u.
0014,"Chỉnh độ ẩm ở mức 60 - 65% là vừa đủ, thử bằng cách nắm mùn cưa trong lòng bàn tay rồi từ từ mở ra, nhìn hiện trạng mùn cưa trong tay để biết đủ ẩm hay chưa.","Pơm lơngơp 'nhă 'long sư̆ dang dơdrơ̆u jĭ truh dơdrơ̆u jĭ đăm phân hriêng buơ̆ tơ̆t, kơđôp năng 'nhă 'long lơ̆m ti đơ̆ng rŏng tơ'nglaih dal dal, hnhĕi năng 'nhă 'long lơ̆m ti tam tơ̆l lơngơp lê̆ đim."
0015,"Dán túi: Dùng túi nilon chịu nhiệt, kích thước 20 x 40 cm, dán 2 góc rồi lộn lại, tạo thành túi có đáy vuông, phẳng.","pơtĕp atŭm mơlung: 'yŏk atŭm mơlung hrưng đĕi tŏ, dang 'bar jĭ truh 'buôn jĭt cm,sĭt alê̆ tơ'plĭh gih dơlăm, ăn atŭm tơpăt.  "
