ID,Tiếng Việt,Tiếng BaNa
1,"Quyết định về việc Ban hành Kế hoạch thực hiện Chương trình hành động số 22-Tr/TU ngày 29/7/2019 của Tỉnh ủy thực hiện Nghị quyết số 36-NQ/TW ngày 22/10/2018 của Ban Chấp hành Trung ương Đảng (Khóa XII) về Chiến lược phát triển bền vững kinh tế biển Việt Nam đến năm 2030, tầm nhìn đến năm 2045 ","KueâÊt ñinh lôêm tôdrong aên leêch glong pônhroh pôm Chöông trinh hanh ñoâng ksoâÊ ‘baêl jiêt ‘baêl-CTr/TU ‘naêr ‘baêl jiêt tôxiênh kheêi tôpôêh sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt tôxiênh ñôêng Tinh uy pôm Nghiê kueâÊt ksoâÊ peâng jiêt drôêu-NQ/TW ‘naêr ‘baêl jiêt ‘baêl kheêi minh jiêt sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt tôhngam ñôêng ‘Ban chôêp hanh Trung öông Ñang (khoêa minh jiêt ‘baêl) lôêm tôdrong pôjing kôjaêp kinh teâÊ ñak tôsiê Vieât Nam truh sônaêm ‘baêl ôbôêu khoâng hrieâng peâng jiêt, trong ngoê truh sônaêm ‘baêl ôbôêu khoâng hrieâng puoân jiêt pôñaêm"
2,Ủy Ban nhân dân Tỉnh,Uy ‘ban nhaân ‘yaân Tinh
3,Căn cứ Luật Tổ chức chính quyền địa phương ngày 19/6/2015,Kaên köê Luaât toâ chöêk khul pôgôl cham pôlei ‘naêr minh jiêt tôxiênh kheêi drôêu sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt pôñaêm
4,"Căn cứ Nghị quyết số 36-NQ/TW ngày 22/10/2018 của Ban chấp hành Trung ương Đảng Khóa XII về Chiến lược phát triển bền vững kinh tế biển Việt Nam đến năm 2030, tầm nhìn đến năm 2045","Kaên köê Nghiê kueâÊt ksoâÊ peâng jiêt drôêu-NQ/TW ‘naêr ‘baêl jiêt ‘baêl kheêi minh jiêt sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt tôhngam ñôêng ‘Ban chôêp hanh Trung öông Ñang khoêa minh jiêt ‘baêl lôêm tôdrong pôjing kôjaêp kinh teâÊ ñak tôsiê Vieât Nam truh sônaêm ‘baêl ôbôêu khoâng hrieâng peâng jiêt, trong ngoê truh sônaêm ‘baêl ôbôêu khoâng hrieâng puoân jiêt pôñaêm"
5,"Căn cứ Chương trình hành động số 22-CTr/TU ngày 29/7/2019 của Tỉnh ủy Bình Định thực hiện Nghị quyết số 36-NQ/TW ngày 22/10/2018 của BCH Trung ương Đảng Khóa XII về Chiến lược phát triển bền vững kinh tế biển Việt Nam đến năm 2030, tầm nhìn đến năm 2045","Kaên köê tôdrong pôm ksoâÊ ‘baêl jiêt ‘baêl CTr/TU ‘naêr ‘baêl jiêt tôxiênh kheêi tôpôêh sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt tôxiênh ñôêng Tinh uy ‘Binh Ñinh pôm Nghiê kueâÊt ksoÊâ peâng jiêt drôêu-NQ/TW ‘naêr ‘baêl jiêt ‘baêl kheêi minh jiêt sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt tôhngam ñôêng ‘Ban chôêp hanh Trung öông Ñang khoêa minh jiêt ‘baêl lôêm tôdrong pôjing kôjaêp kinh teâÊ ñak tôsiê Vieât nam truh sônaêm ‘baêl ôbôêu khoâng hrieâng peâng jiêt, trong ngoê truh sônaêm ‘baêl ôbôêu khoâng hrieâng puoân jiêt pôñaêm"
6,Xét đề nghị của Sở Tài nguyên và Môi trường tại Tờ trình số 94/TTr-STNMT ngày 14/02/2020,Xeêt pôtho khan ñôêng Sô Tai ngueân oeêng Moâi tröông lôêm Tô trinh ksoâÊ tôxiênh jiêt puoân/TTr-STNMT ‘naêr minh jiêt puoân kheêi ‘baêl sônaêm ‘baêl ôbôêu khoâng hrieâng ‘baêl jiêt
7,"Điều 1. Ban hành kèm theo Quyết định này Kế hoạch thực hiện Chương trình hành động số 22-Tr/TU ngày 29/7/2019 của Tỉnh ủy thực hiện Nghị quyết số 36-NQ/TW ngày 22/10/2018 của Ban Chấp hành Trung ương Đảng (Khóa XII) về Chiến lược phát triển bền vững kinh tế biển Việt Nam đến năm 2030, tầm nhìn đến năm 2045.","Ñieâu minh. AÊn leêch pôteêp adriêng KueâÊt ñinh anu glong pônhroh pôm tôdrong pôm ksoâÊ ‘baêl jiêt ‘baêl-CTr/TU ‘naêr ‘baêl jiêt tôxiênh kheêi tôpôêh sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt tôxiênh ñôêng Tinh uy pôm Nghiê kueâÊt ksoâÊ peâng jiêt drôêu-NQ/TW ‘naêr ‘baêl jiêt ‘baêl kheêi minh jiêt sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt tôhngam ñôêng ‘Ban chôêp hanh Trung öông Ñang (khoêa minh jiêt ‘baêl) lôêm tôdrong pôjing kôjaêp kinh teâÊ ñak tôsiê Vieât Nam truh sônaêm ‘baêl ôbôêu khoâng hrieâng peâng jiêt, trong ngoê truh sônaêm ‘baêl ôbôêu khoâng hrieâng puoân jiêt pôñaêm"
8,"Điều 2. Giao Sở Tài nguyên và Môi trường chủ trì, phối hợp với các cơ quan liên quan, UBND các huyện, thị xã, thành phố tổ chức triển khai thực hiện.","Ñieâu ‘baêl. Pôjao Sô Tai ngueân oeêng Moâi tröông pôgôl, adriêng rim kô kuan lieân kuan, UBND rim hueân, thi xa, thanh phoâÊ pôloêk pônhroh pôm."
9,"Điều 3. Chánh Văn phòng UBND tỉnh, Giám đốc các Sở: Tài nguyên và Môi trường, Kế hoạch và Đầu tư, Tài chính, Nông nghiệp và PTNT, Lao động - Thương binh và Xã hội, Du lịch, Công Thương, Giao thông vận tải, Nội vụ, Ngoại vụ, Xây dựng, Tư pháp, Thông tin và Truyền Thông, Giáo dục và Đào tạo, Khoa học và Công nghệ; Trưởng Ban Ban Quản lý khu kinh tế","Ñieâu peâng. Chaênh Vaên phong UBND tinh, Giam ñoâk rim Sô: Tai ngueân oeêng Moâi tröông, Keâ hoach oeêng Ñaâu tö, Tai chiênh, Noâng nghieâp oeêng pôjing cham pôlei, Lao ñoâng – Thöông ‘binh oeêng Xa hoâi, ‘Yu liêch, Koâng thöông, Giao thoâng vaân tai, Noâi vuê, Ngoai vuê, Xaây ‘yöng, Tö phap, Thoâng tin oeêng Trueân thoâng, Giaêo ‘yuêk oeêng Ñao tao, Khoa hoêk oeêng Koâng ngheâ, Tröông ‘Ban Khul ngoê hnheêi apung kinh teâÊ"
10,"Giám đốc Công an tỉnh, Chỉ huy trưởng Bộ Chỉ huy Quân sự tỉnh","Giam ñoâk koâng an tinh, Chi huy tröông ‘Boâ Chi huy Kuaân sö tinh"
