ID,Tiếng Việt,Tiếng BaNa
0001,"Nhằm đảm bảo công tác tuyển chọn gọi công dân nhập ngũ năm 2020 đạt chỉ tiêu, trong hai ngày ngày 22 và 23/10, Hội đồng nghĩa vụ quân sự huyện đã họp xét duyệt chính trị, chính sách tuyển quân năm 2020","Söê tômaên tôl tôdrong tuyeân yoêk krao akoêm coâng daân nhaâp ngu sônaêm 2020 ñat chi tieâu, lôêm 02 ‘naêr 22 oeêng 23/10, Hoâi ñoâng nghia vu quaân sö huyeân jôh hop xet duyeât chinh tri, chính sach tuyeân quaân sônaêm 2020"
0002,"Tại hội nghị, Hội đồng nghĩa vụ quân sự thông qua danh sách 1.297 thanh niên trong diện nhập ngũ trên địa bàn huyện và tổ chức xét duyệt theo từng xã, thị trấn","Dônoê Hoâi nghi, Hoâi ñoâng nghia vu quaân sö thoâng qua danh sach 1.297 ñe adruh tôdaêm lôêm kôbraê nhaâp ngu lôêm tôring huyeân oeêng pôloêk xet duyeât ‘boi rim xa, thi traân"
0003,"Qua họp xét, có 337 thanh niên đủ điều kiện gọi khám sức khỏe thực hiện nghĩa vụ quân sự năm 2020","Qua hop xet, ôêi 337 ñe adruh duh ñieâu kieân krao naêm kham jaêng pran pôm nghia vu quaân sö sônaêm 2020"
0004,"Trong thời gian tới, để hoàn thành chỉ tiêu giao quân năm 2020, Hội đồng nghĩa vụ quân sự huyện chủ động phối hợp chặt chẽ với các ban, ngành, đoàn thể liên quan trong thực hiện công tác tuyển quân","Lôêm jônang truh, söê keh kong tôdrong pôjao quaân sônaêm 2020, Hoâi ñoâng nghia vu quaân sö huyeân chu ñoâng adriêng rim ban, nganh ñoan theâ lieân quan lôêm pôm tôdrong tuyeân quaân"
0005,"Qua đó, củng cố hồ sơ, tham mưu thành tập Hội đồng khám sức khỏe và tiến hành phát lệnh gọi khám","Qua ‘noh, cung coâÊ hoâ sô, pôñam ‘bôl ñon pôjing anao hoâi ñoâng kham jaêng pran oeêng phat leânh krao kham"
0006,"Ngoài ra, các cấp, các ngành, đoàn thể, các xã, thị trấn và các thành viên Hội đồng nghĩa vụ quân sự huyện tiếp tục đẩy mạnh công tác vận động tuyên truyền đến nhân dân, đôn đốc, nhắc nhở, động viên các thanh niên và gia đình có con em nằm trong diện gọi, khám tuyển nghĩa vụ quân sự  thực hiện tốt nghĩa vụ công dân","Minh kôpah, rim kôêp, rim nganh, ñoan theâ, rim xa, thi traân oeêng rim thanh vieân hoâi ñoâng nghia vu quaân sö huyeân ling lang jôraê deâh tôdrong krao akoêm, pôtho khan truh kon tôring, khan pôkaê krao akoêm rim ñe adruh oeêng uênh hnam ôêi kon mon oei lôêm kôbraê krao kham tuyeân nghia vu quaân sö pôm hôgei nghia vu coâng daân"
0007,"Phong trào thi đua “Dân vận khéo” gắn với phong trào thi đua ở cơ sở được các địa phương, đơn vị triển khai, góp phần quan trọng vào phát triển kinh tế, xã hội ở địa phương","Lö sônaêm anu yuoâ ôêu, adrol tôdrong pôgôl ñôêng khul thöông vu Huyeân uy, tôdrong daân vaân deêch ñei rim kôêp uy Ñang, khul pôgôl, rim nganh ñoan theâ ñôêng huyeân ngoê hnhei pôm oeêng ñat ñei thu yoêk pôjaêng"
0008,"Đến nay, toàn huyện xây dựng được hàng chục mô hình, điển hình “Dân vận khéo”, trong các lĩnh vực kinh tế, văn hoá - xã hội, an ninh - quốc phòng","Truh ahreêi, lôêm huyeân tôjung pôm ñei kô jiêt moâ hinh, ñieân hinh Daân vaân kheêo lôêm rim tôdrong kinh teâ, vaên hoa xa hoâi, an ninh quoâc phong"
0009,"Trong đó, phong trào thi đua “Dân vận khéo” trong xây dựng nông thôn mới được các ngành, Hội đoàn thể triển khai gắn với nhiệm vụ của từng đơn vị như","Lôêm ‘noh, trong glong Daân vaân kheêo lôêm tôjung pôm cham pôlei anao ñei rim nganh, hoâi ñoan theâ pônhroh pôteêp adriêng nhieâm vu ñôêng rim ñôn vi in"
0010,"Ủy ban MTTQ Việt Nam huyện với Cuộc vận động ""Toàn dân đoàn kết xây dựng nông thôn mới, đô thị văn minh"", Hội LHPN huyện triển khai thực hiện Cuộc vận động “Xây dựng gia đình 5 không, 3 sạch”, Đoàn Thanh niên có phong trào “Đồng hành với thanh niên trong lập thân, lập nghiệp“, ""Tình nguyện vì cuộc sống cộng đồng"", Hội Nông dân huyện với phong trào nông dân chung sức xây dựng nông thôn mới, nông dân thi đua sản xuất, kinh doanh giỏi","UBMTTQ Vieât Nam huyeân adriêng maêng krao akoêm “Ñiê ñaêng naê ma ñoan keât tôjung pôm cham pôlei anao, ñoâ thi alöng lieâm”, Hoâi LHPN huyeân pônhroh pôm maêng krao akoêm “Tôjung pôm uênh hnam 5 biê 3 uoâil ieâl”, Ñoan ñe adruh ôêi trong glong “Ñoâng hanh adriêng ñe adruh lôêm lôêp thaân, lôêp nghieâp”, “Tinh nguyeân yua tôdrong yaêl arih naê ma cham pôlei”, Hoâi noâng daân huyeân adriêng trong glong naê ma adriêng jaêng pran tôjung pôm cham pôlei anao, naê ma tôjroh choh jang, teêch bôdro hôgei"
