ID,Tiếng Việt,Tiếng BaNa
0001,Cách mạng Tháng Tám và Quốc Khánh 2.9,Cach mang thang 8 oeêng Quoâc khanh 2/9
0002,Huy hiệu Đảng,Huy hieâu Ñang
0003,đảng bộ trực thuộc,ñang boâ trök thuoâc
0004,chúc mừng và tri ân những đóng góp của các đảng viên,chuc möng oeêng tri aân rim tôdrong pôgoêp ñôêng rim ñang vieân
0005,cống hiến cho Đảng,ôêi lö tôdrong pôgoêp aên Ñang
0006,Công tác thực thi pháp luật,Tôdrong pôm phap luaât
0007,đảm bảo quốc phòng an ninh,tômaên tôl quoâc phong an ninh
0008,công tác chuẩn bị năm học mới,tôdrong goâ ñeêch aên sônaêm hoêk anao
0009,Hội nghị tiếp xúc cử tri,Hoâi nghi tôjröêm naê ma
0010,công tác bầu cử,tôdrong ‘bôu cö
0011,Phong trào thi đua “Dân vận khéo”,Trong glong tôjroh daân vaân kheêo
0012,Hệ thống dân vận các cấp,Tôdrong daân vaân rim kôêp
0013,"Cuộc vận động ""Toàn dân đoàn kết xây dựng nông thôn mới, đô thị văn minh""","maêng krao akoêm “Ñiê ñaêng naê ma ñoan keât tôjung pôm cham pôlei anao, ñoâ thi alöng lieâm”"
0014,"Cuộc vận động “Xây dựng gia đình 5 không, 3 sạch”",maêng krao akoêm “Tôjung pôm uênh hnam 05 biê 03 uoâl ieâl”
0015,"phong trào “Đồng hành với thanh niên trong lập thân, lập nghiệp“",glong pônhroh “Ñoâng hanh adriêng ñe adruh tôdaêm lôêp thaân laâp nghieâp”
0016,"""Tình nguyện vì cuộc sống cộng đồng""",“Tinh nguyeân yua tôdrong yaêl arih naê ma cham pôlei”
0017,phong trào thi đua yêu nước,trong glong tôjroh ameêm teh ñak
0018,xây dựng khối đại đoàn kết toàn dân tộc,tôjung pôm khoâi ñai ñoan keât ñiê ñaêng naê ma kon koâng
0019,xây dựng hệ thống chính trị trong sạch vững mạnh, tôjung pôm heâ thoâng chinh tri uoâl uieâl kôjaêp
0020,biện pháp tránh thai, tôdrong biê aên cheêp klak
0021,màng lưới cộng tác viên dân số,maïng löôi coâng tac vieân daân so
0022,giảm tỷ lệ sinh con thứ 3, tôjul ty leâ ñeh kon maê peâng
0023,"thực hiện tốt giáo dục chính trị, tư tưởng","pôm hôgei giao duc chinh tri, nöih sôngöm"
